payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.00,-123.00,-17.00,-5.00,15.00,22.00,1.67,149.36,2000.00,9575.28,4.79,28725.93,2.00,1945.00,0.00,0.00,28.73,967.70,4.18
4.70,-110.00,-12.00,19.00,11.00,14.00,1.29,94.31,3000.00,18672.68,6.22,29254.00,3.00,1945.00,0.00,0.00,29.25,967.70,2.14
0.55,-109.00,-11.00,22.00,12.00,14.00,0.27,0.72,1000.00,29694.41,29.69,16331.98,1.00,1945.00,0.00,0.00,16.33,967.70,1.35
1.10,-108.00,-11.00,22.00,7.00,14.00,1.63,8.43,4000.00,19596.32,4.90,5388.99,4.00,1945.00,0.00,0.00,5.39,967.70,2.04
0.85,-101.00,-12.00,26.00,11.00,14.00,2.92,14.50,7000.00,19171.71,2.74,2328.00,7.00,1945.00,0.00,0.00,2.33,967.70,2.09
0.50,-89.00,-11.00,26.00,15.00,14.00,3.10,8.36,4000.00,10327.94,2.58,1291.00,4.00,1945.00,0.00,0.00,1.29,967.70,3.87
0.50,-97.00,-11.00,30.00,14.00,14.00,2.93,10.07,5000.00,13629.97,2.73,1363.00,5.00,1945.00,0.00,0.00,1.36,967.70,2.93
0.50,-93.00,-11.00,30.00,14.00,14.00,3.22,9.91,5000.00,12429.96,2.49,1243.00,5.00,1945.00,0.00,0.00,1.24,967.70,3.22
0.50,-88.00,-11.00,34.00,15.00,14.00,2.11,10.65,3000.00,11393.96,3.80,1899.00,3.00,1945.00,0.00,0.00,1.90,967.70,3.51
0.55,-99.00,-11.00,30.00,10.00,14.00,6.76,9.92,21000.00,24856.26,1.18,651.00,21.00,1945.00,0.00,0.00,0.65,967.70,1.61
0.50,-98.00,-12.00,30.00,15.00,14.00,3.57,10.29,5000.00,11199.96,2.24,1120.00,5.00,1945.00,0.00,0.00,1.12,967.70,3.57
0.55,-96.00,-12.00,28.00,12.00,14.00,7.14,10.53,15000.00,16799.95,1.12,616.00,15.00,1945.00,0.00,0.00,0.62,967.70,2.38
0.55,-97.00,-11.00,31.00,12.00,14.00,7.61,10.89,16000.00,16814.47,1.05,578.00,16.00,1945.00,0.00,0.00,0.58,967.70,2.38
0.50,-92.00,-11.00,36.00,13.00,14.00,7.30,9.98,14000.00,15343.94,1.10,548.00,14.00,1945.00,0.00,0.00,0.55,967.70,2.61
0.55,-90.00,-11.00,31.00,12.00,14.00,3.83,11.62,8000.00,16698.11,2.09,1148.00,8.00,1945.00,0.00,0.00,1.15,967.70,2.40
1.70,-86.00,-5.00,19.00,10.00,10.00,11.91,33.99,36000.00,24183.39,0.67,1142.00,36.00,1945.00,0.00,0.00,1.14,967.70,3.31
0.65,-77.00,-6.00,23.00,15.00,10.00,10.06,12.36,14000.00,11135.30,0.80,517.00,14.00,1945.00,0.00,0.00,0.52,967.70,7.18
0.65,-79.00,-6.00,23.00,15.00,10.00,9.30,13.04,13000.00,11179.96,0.86,559.00,13.00,1945.00,0.00,0.00,0.56,967.70,7.16
0.50,-75.00,-9.00,22.00,15.00,10.00,8.32,9.95,11000.00,10581.96,0.96,481.00,11.00,1945.00,0.00,0.00,0.48,967.70,7.56
0.65,-80.00,-6.00,25.00,15.00,10.00,8.40,13.11,11000.00,10475.34,0.95,619.00,11.00,1945.00,0.00,0.00,0.62,967.70,7.64
0.65,-82.00,-6.00,24.00,15.00,10.00,8.90,12.96,12000.00,10781.50,0.90,584.00,12.00,1945.00,0.00,0.00,0.58,967.70,7.42
