payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.05,-96.00,-11.00,9.00,15.00,9.00,5.91,109.21,8000.00,10835.01,1.35,8194.00,8.00,1750.00,0.00,0.00,8.19,1425.10,7.38
6.05,-78.00,-7.00,20.00,13.00,6.00,25.17,114.58,47000.00,14938.95,0.32,1923.00,47.00,1750.00,0.00,0.00,1.92,1425.10,3.57
6.00,-69.00,-8.00,10.00,15.00,3.00,8.62,123.75,12000.00,11139.95,0.93,5570.00,12.00,1750.00,0.00,0.00,5.57,1425.10,4.79
6.05,-74.00,-7.00,19.00,15.00,6.00,10.05,120.34,14000.00,11142.06,0.80,4814.98,14.00,1750.00,0.00,0.00,4.81,1425.10,4.79
6.05,-80.00,-8.00,13.00,15.00,4.00,7.87,122.31,11000.00,11185.41,1.02,6152.00,11.00,1750.00,0.00,0.00,6.15,1425.10,4.77
6.05,-67.00,-6.00,23.00,15.00,2.00,8.73,120.39,12000.00,10994.33,0.92,5543.00,12.00,1750.00,0.00,0.00,5.54,1425.10,4.85
6.05,-91.00,-11.00,-1.00,15.00,13.00,3.60,128.91,5000.00,11122.26,2.22,13457.98,5.00,1750.00,0.00,0.00,13.46,1425.10,7.19
6.05,-95.00,-14.00,-9.00,15.00,7.00,2.16,129.96,3000.00,11089.04,3.70,22362.96,3.00,1750.00,0.00,0.00,22.36,1425.10,7.21
6.05,-92.00,-10.00,4.00,15.00,7.00,3.62,111.87,5000.00,11038.81,2.21,13357.00,5.00,1750.00,0.00,0.00,13.36,1425.10,4.83
6.00,-100.00,-15.00,0.00,9.00,7.00,4.37,117.61,15000.00,27429.89,1.83,10971.99,15.00,1750.00,0.00,0.00,10.97,1425.10,1.94
