payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.55,-101.00,-9.00,7.00,6.00,17.00,6.52,10.65,46000.00,56454.36,1.23,675.00,46.00,1750.00,0.00,0.00,0.68,870.03,1.42
0.55,-96.00,-11.00,-1.00,7.00,17.00,5.41,11.19,13000.00,19239.91,1.48,814.00,13.00,1750.00,0.00,0.00,0.81,870.03,4.16
0.50,-87.00,-9.00,15.00,7.00,10.00,5.49,9.13,13000.00,18953.93,1.46,729.00,13.00,1750.00,0.00,0.00,0.73,870.03,2.81
0.55,-91.00,-12.00,1.00,7.00,10.00,4.55,11.25,11000.00,19359.93,1.76,968.00,11.00,1750.00,0.00,0.00,0.97,870.03,2.75
0.50,-96.00,-13.00,-7.00,5.00,11.00,3.20,10.26,31000.00,77499.76,2.50,1250.00,31.00,1750.00,0.00,0.00,1.25,870.03,1.03
0.55,-100.00,-14.00,-6.00,6.00,15.00,2.23,11.73,16000.00,57366.95,3.59,1972.00,16.00,1750.00,0.00,0.00,1.97,870.03,0.93
0.50,-92.00,-9.00,3.00,8.00,13.00,6.94,8.55,31000.00,35711.87,1.15,576.00,31.00,1750.00,0.00,0.00,0.58,870.03,2.24
0.50,-91.00,-10.00,0.00,6.00,13.00,5.41,10.18,38000.00,56239.74,1.48,740.00,38.00,1750.00,0.00,0.00,0.74,870.03,1.42
0.50,-84.00,-6.00,30.00,12.00,12.00,4.83,10.12,10000.00,16559.92,1.66,828.00,10.00,1750.00,0.00,0.00,0.83,870.03,3.22
0.55,-87.00,-10.00,21.00,9.00,12.00,5.19,11.01,18000.00,27719.87,1.54,847.00,18.00,1750.00,0.00,0.00,0.85,870.03,1.92
0.50,-76.00,-8.00,19.00,15.00,12.00,5.62,9.87,8000.00,11391.95,1.42,712.00,8.00,1750.00,0.00,0.00,0.71,870.03,4.68
0.50,-78.00,-8.00,18.00,10.00,12.00,7.62,9.78,24000.00,25199.89,1.05,525.00,24.00,1750.00,0.00,0.00,0.52,870.03,2.12
