payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.25,-93.00,-9.00,1.00,15.00,13.00,9.73,125.00,13000.00,10684.92,0.82,5137.00,13.00,1750.00,0.00,0.00,5.14,941.12,4.99
2.10,-80.00,-8.00,15.00,13.00,6.00,13.01,42.00,24000.00,14754.25,0.61,1291.00,24.00,1750.00,0.00,0.00,1.29,941.12,3.61
2.00,-64.00,-7.00,14.00,15.00,2.00,15.98,40.00,22000.00,11010.94,0.50,1001.00,22.00,1750.00,0.00,0.00,1.00,941.12,4.84
0.90,-70.00,-6.00,25.00,15.00,1.00,14.60,18.01,20000.00,10955.53,0.55,493.00,20.00,1750.00,0.00,0.00,0.49,941.12,4.87
2.20,-67.00,-6.00,20.00,15.00,8.00,12.96,44.00,17000.00,10493.58,0.62,1358.00,17.00,1750.00,0.00,0.00,1.36,941.12,5.08
2.05,-82.00,-6.00,18.00,15.00,4.00,10.39,41.00,14000.00,10776.59,0.77,1578.01,14.00,1750.00,0.00,0.00,1.58,941.12,4.95
2.00,-81.00,-6.00,13.00,15.00,3.00,9.89,39.99,13000.00,10516.96,0.81,1618.00,13.00,1750.00,0.00,0.00,1.62,941.12,5.07
2.20,-70.00,-5.00,24.00,15.00,1.00,13.81,44.01,18000.00,10423.60,0.58,1274.00,18.00,1750.00,0.00,0.00,1.27,941.12,5.12
2.45,-96.00,-8.00,11.00,15.00,7.00,14.59,49.00,20000.00,10963.26,0.55,1343.00,20.00,1750.00,0.00,0.00,1.34,941.12,4.86
4.15,-100.00,-9.00,-3.00,15.00,13.00,5.02,82.99,7000.00,11159.47,1.59,6616.00,7.00,1750.00,0.00,0.00,6.62,941.12,4.78
3.70,-91.00,-8.00,15.00,15.00,10.00,12.16,74.00,16000.00,10529.69,0.66,2435.00,16.00,1750.00,0.00,0.00,2.43,941.12,7.60
2.00,-89.00,-8.00,8.00,15.00,7.00,10.25,40.01,14000.00,10926.94,0.78,1561.00,14.00,1750.00,0.00,0.00,1.56,941.12,7.32
3.00,-93.00,-7.00,16.00,10.00,7.00,12.25,60.00,37000.00,24160.90,0.65,1959.00,37.00,1750.00,0.00,0.00,1.96,941.12,2.21
2.00,-79.00,-10.00,8.00,15.00,5.00,17.52,40.00,24000.00,10955.97,0.46,913.00,24.00,1750.00,0.00,0.00,0.91,941.12,4.87
2.25,-90.00,-7.00,11.00,8.00,4.00,16.93,44.99,74000.00,34960.70,0.47,1063.00,74.00,1750.00,0.00,0.00,1.06,941.12,1.53
