payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
1.45,-105.00,-10.00,18.00,8.00,9.00,10.57,30.13,46000.00,34801.36,0.76,1097.01,46.00,1720.00,0.00,0.00,1.10,699.10,1.15
3.15,-95.00,-7.00,16.00,15.00,6.00,19.44,63.30,26000.00,10697.11,0.41,1296.00,26.00,1720.00,0.00,0.00,1.30,699.10,3.74
0.75,-70.00,-4.00,27.00,15.00,5.00,16.81,13.96,23000.00,10947.95,0.48,357.00,23.00,1720.00,0.00,0.00,0.36,699.10,3.65
0.50,-71.00,-5.00,28.00,15.00,5.00,16.06,9.89,22000.00,10955.97,0.50,249.00,22.00,1720.00,0.00,0.00,0.25,699.10,3.65
0.85,-75.00,-6.00,27.00,15.00,1.00,16.46,17.17,22000.00,10689.34,0.49,413.00,22.00,1720.00,0.00,0.00,0.41,699.10,3.74
0.50,-71.00,-5.00,30.00,15.00,1.00,15.50,9.86,21000.00,10835.98,0.52,258.00,21.00,1720.00,0.00,0.00,0.26,699.10,3.69
0.60,-95.00,-7.00,23.00,13.00,1.00,14.86,12.06,27000.00,14534.98,0.54,323.00,27.00,1720.00,0.00,0.00,0.32,699.10,2.75
1.35,-101.00,-6.00,25.00,15.00,1.00,22.45,27.13,30000.00,10688.85,0.36,481.00,30.00,1720.00,0.00,0.00,0.48,699.10,3.74
0.50,-79.00,-4.00,32.00,15.00,10.00,16.13,9.81,22000.00,10911.95,0.50,248.00,22.00,1720.00,0.00,0.00,0.25,699.10,3.67
0.65,-88.00,-5.00,27.00,13.00,10.00,13.79,13.11,25000.00,14499.90,0.58,377.00,25.00,1720.00,0.00,0.00,0.38,699.10,2.76
0.90,-72.00,-5.00,31.00,15.00,1.00,10.54,18.36,14000.00,10624.37,0.76,683.00,14.00,1720.00,0.00,0.00,0.68,699.10,3.76
0.70,-82.00,-6.00,24.00,15.00,1.00,10.71,13.77,15000.00,11207.10,0.75,523.00,15.00,1720.00,0.00,0.00,0.52,699.10,3.57
0.55,-79.00,-6.00,27.00,15.00,1.00,10.89,10.90,15000.00,11018.17,0.73,404.00,15.00,1720.00,0.00,0.00,0.40,699.10,3.63
0.50,-65.00,-5.00,30.00,15.00,1.00,10.93,9.96,15000.00,10979.96,0.73,366.00,15.00,1720.00,0.00,0.00,0.37,699.10,3.64
4.00,-80.00,-5.00,23.00,15.00,28.00,20.08,81.32,27000.00,10759.44,0.40,1594.00,27.00,1720.00,0.00,0.00,1.59,699.10,3.72
0.55,-68.00,-5.00,32.00,1.00,11.00,8.76,9.85,100000.00,91272.42,0.91,502.00,100.00,1720.00,0.00,0.00,0.50,699.10,0.44
1.60,-79.00,-5.00,30.00,15.00,1.00,14.25,32.35,19000.00,10663.67,0.56,898.00,19.00,1720.00,0.00,0.00,0.90,699.10,3.75
5.35,-82.00,-6.00,20.00,13.00,13.00,20.94,108.16,38000.00,14518.09,0.38,2044.00,38.00,1720.00,0.00,0.00,2.04,699.10,2.76
0.85,-81.00,-6.00,24.00,11.00,13.00,10.73,15.60,27000.00,20138.73,0.75,634.00,27.00,1720.00,0.00,0.00,0.63,699.10,1.99
0.80,-73.00,-5.00,31.00,15.00,4.00,9.64,16.04,13000.00,10789.96,0.83,664.00,13.00,1720.00,0.00,0.00,0.66,699.10,3.71
0.80,-83.00,-5.00,23.00,15.00,5.00,12.03,15.82,16000.00,10639.98,0.66,532.00,16.00,1720.00,0.00,0.00,0.53,699.10,3.76
0.55,-83.00,-6.00,32.00,9.00,5.00,8.27,11.02,29000.00,28050.80,0.97,532.00,29.00,1720.00,0.00,0.00,0.53,699.10,1.43
0.65,-77.00,-5.00,29.00,15.00,5.00,13.03,12.84,17000.00,10435.37,0.61,399.00,17.00,1720.00,0.00,0.00,0.40,699.10,3.83
0.70,-82.00,-5.00,21.00,11.00,5.00,11.16,14.11,28000.00,20079.96,0.72,502.00,28.00,1720.00,0.00,0.00,0.50,699.10,1.99
3.05,-88.00,-6.00,19.00,13.00,3.00,17.71,61.89,33000.00,14909.44,0.45,1378.00,33.00,1720.00,0.00,0.00,1.38,699.10,2.68
0.80,-69.00,-5.00,26.00,15.00,2.00,16.80,15.01,23000.00,10953.68,0.48,381.00,23.00,1720.00,0.00,0.00,0.38,699.10,3.65
0.55,-73.00,-6.00,31.00,15.00,2.00,12.68,10.96,17000.00,10725.38,0.63,347.00,17.00,1720.00,0.00,0.00,0.35,699.10,3.73
0.75,-76.00,-6.00,25.00,14.00,1.00,13.51,15.14,22000.00,13023.92,0.59,444.00,22.00,1720.00,0.00,0.00,0.44,699.10,3.07
0.65,-78.00,-5.00,22.00,11.00,1.00,15.90,12.84,40000.00,20123.00,0.50,327.00,40.00,1720.00,0.00,0.00,0.33,699.10,1.99
