payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.00,-104.00,-12.00,-3.00,8.00,11.00,19.23,122.83,82000.00,34111.95,0.42,2496.00,82.00,1720.00,0.00,0.00,2.50,1424.30,1.17
6.00,-97.00,-7.00,12.00,15.00,17.00,24.62,119.45,33000.00,10724.95,0.32,1950.00,33.00,1720.00,0.00,0.00,1.95,1424.30,3.73
5.70,-98.00,-6.00,25.00,15.00,11.00,32.20,113.56,43000.00,10682.07,0.25,1416.00,43.00,2530.00,0.00,0.00,1.42,1424.30,3.74
6.05,-101.00,-5.00,18.00,15.00,10.00,15.36,122.73,21000.00,10937.29,0.52,3150.99,21.00,2530.00,0.00,0.00,3.15,1424.30,3.66
6.05,-103.00,-6.00,16.00,15.00,7.00,20.85,120.17,28000.00,10741.76,0.38,2320.99,28.00,2530.00,0.00,0.00,2.32,1424.30,3.72
6.05,-99.00,-6.00,21.00,15.00,8.00,40.95,119.76,54000.00,10550.04,0.20,1182.00,54.00,2530.00,0.00,0.00,1.18,1424.30,3.79
6.05,-99.00,-5.00,10.00,11.00,13.00,16.97,122.69,43000.00,20270.35,0.47,2852.00,43.00,2530.00,0.00,0.00,2.85,1424.30,1.97
6.05,-92.00,-11.00,2.00,7.00,8.00,11.56,122.37,27000.00,18690.13,0.69,4187.99,27.00,1720.00,0.00,0.00,4.19,1424.30,2.14
6.00,-84.00,-7.00,5.00,11.00,3.00,14.12,119.18,35000.00,19827.36,0.57,3398.99,35.00,1720.00,0.00,0.00,3.40,1424.30,2.02
4.70,-81.00,-6.00,20.00,15.00,3.00,35.84,91.73,47000.00,10489.96,0.22,1049.00,47.00,1720.00,0.00,0.00,1.05,1424.30,3.81
6.05,-86.00,-5.00,24.00,12.00,4.00,18.06,122.61,39000.00,17275.94,0.44,2679.99,39.00,1720.00,0.00,0.00,2.68,1424.30,2.32
6.05,-84.00,-7.00,23.00,15.00,5.00,29.28,120.00,39000.00,10655.66,0.27,1653.00,39.00,1720.00,0.00,0.00,1.65,1424.30,3.75
