payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.55,-86.00,-6.00,27.00,12.00,7.00,5.69,11.97,12000.00,16865.39,1.41,773.00,12.00,1720.00,0.00,0.00,0.77,949.15,2.37
0.55,-84.00,-7.00,21.00,15.00,4.00,6.57,10.86,9000.00,10963.59,1.22,670.00,9.00,1720.00,0.00,0.00,0.67,949.15,3.65
0.55,-84.00,-6.00,23.00,14.00,4.00,7.36,10.89,12000.00,13047.22,1.09,598.00,12.00,1720.00,0.00,0.00,0.60,949.15,3.07
0.50,-83.00,-5.00,22.00,15.00,4.00,9.80,9.81,13000.00,10607.96,0.82,408.00,13.00,1720.00,0.00,0.00,0.41,949.15,3.77
0.55,-92.00,-7.00,7.00,12.00,4.00,6.17,11.28,13000.00,16852.67,1.30,713.00,13.00,1720.00,0.00,0.00,0.71,949.15,2.37
0.50,-97.00,-8.00,13.00,12.00,10.00,7.31,9.85,16000.00,17503.94,1.09,547.00,16.00,1720.00,0.00,0.00,0.55,949.15,2.29
0.50,-93.00,-6.00,10.00,8.00,10.00,7.34,10.02,32000.00,34879.86,1.09,545.00,32.00,1720.00,0.00,0.00,0.54,949.15,1.15
0.50,-103.00,-10.00,7.00,7.00,11.00,6.72,10.03,16000.00,19039.94,1.19,595.00,16.00,1720.00,0.00,0.00,0.60,949.15,2.10
0.50,-94.00,-10.00,6.00,12.00,9.00,6.98,9.96,15000.00,17189.93,1.15,573.00,15.00,1720.00,0.00,0.00,0.57,949.15,2.33
0.50,-104.00,-11.00,2.00,7.00,9.00,8.73,9.96,20000.00,18319.93,0.92,458.00,20.00,1720.00,0.00,0.00,0.46,949.15,2.18
0.50,-91.00,-10.00,14.00,12.00,9.00,7.89,9.96,17000.00,17237.93,1.01,507.00,17.00,1720.00,0.00,0.00,0.51,949.15,2.32
0.50,-90.00,-11.00,7.00,11.00,9.00,6.19,10.18,16000.00,20671.93,1.29,646.00,16.00,1720.00,0.00,0.00,0.65,949.15,1.93
0.50,-89.00,-10.00,6.00,8.00,9.00,4.24,10.29,18000.00,33983.90,1.89,944.00,18.00,1720.00,0.00,0.00,0.94,949.15,1.18
0.55,-89.00,-9.00,1.00,10.00,5.00,7.01,10.71,22000.00,25119.89,1.14,628.00,22.00,1720.00,0.00,0.00,0.63,949.15,1.59
0.50,-89.00,-9.00,0.00,12.00,5.00,7.13,9.89,15000.00,16829.94,1.12,561.00,15.00,1720.00,0.00,0.00,0.56,949.15,2.38
0.50,-88.00,-9.00,2.00,7.00,5.00,7.17,10.02,17000.00,18971.92,1.12,558.00,17.00,1720.00,0.00,0.00,0.56,949.15,2.11
0.55,-87.00,-8.00,7.00,10.00,5.00,8.16,10.99,25000.00,24499.90,0.98,539.00,25.00,1720.00,0.00,0.00,0.54,949.15,1.63
0.50,-86.00,-9.00,10.00,9.00,5.00,5.81,10.13,20000.00,27519.87,1.38,688.00,20.00,1720.00,0.00,0.00,0.69,949.15,1.45
0.55,-90.00,-10.00,4.00,8.00,5.00,7.19,10.92,32000.00,35607.14,1.11,612.00,32.00,1720.00,0.00,0.00,0.61,949.15,1.12
0.55,-93.00,-12.00,1.00,6.00,12.00,6.97,11.03,49000.00,56216.11,1.15,631.00,49.00,1720.00,0.00,0.00,0.63,949.15,0.71
0.55,-101.00,-10.00,2.00,6.00,10.00,6.98,11.00,49000.00,56127.09,1.15,630.00,49.00,1720.00,0.00,0.00,0.63,949.15,0.71
0.50,-98.00,-12.00,4.00,6.00,16.00,5.88,10.07,42000.00,57119.74,1.36,680.00,42.00,1720.00,0.00,0.00,0.68,949.15,0.70
0.50,-96.00,-8.00,6.00,8.00,16.00,5.94,10.03,26000.00,34995.86,1.35,673.00,26.00,1720.00,0.00,0.00,0.67,949.15,1.14
0.50,-97.00,-6.00,4.00,6.00,15.00,5.28,10.03,38000.00,57531.74,1.51,757.00,38.00,1720.00,0.00,0.00,0.76,949.15,0.70
0.55,-93.00,-7.00,4.00,10.00,6.00,9.63,10.67,29000.00,24096.26,0.83,457.00,29.00,1720.00,0.00,0.00,0.46,949.15,1.66
0.50,-94.00,-8.00,5.00,12.00,6.00,8.66,10.01,19000.00,17555.94,0.92,462.00,19.00,1720.00,0.00,0.00,0.46,949.15,2.28
0.50,-93.00,-6.00,8.00,8.00,6.00,8.44,10.03,37000.00,35075.87,0.95,474.00,37.00,1720.00,0.00,0.00,0.47,949.15,1.14
0.50,-93.00,-7.00,8.00,13.00,6.00,5.66,10.27,10000.00,14139.95,1.41,707.00,10.00,1720.00,0.00,0.00,0.71,949.15,2.83
0.50,-90.00,-5.00,15.00,6.00,6.00,5.65,9.97,41000.00,58055.77,1.42,708.00,41.00,1720.00,0.00,0.00,0.71,949.15,0.69
0.55,-89.00,-7.00,6.00,10.00,10.00,7.79,10.84,24000.00,24654.45,1.03,565.00,24.00,1720.00,0.00,0.00,0.56,949.15,1.62
0.55,-94.00,-9.00,9.00,7.00,4.00,7.77,10.99,18000.00,18523.57,1.03,566.00,18.00,1720.00,0.00,0.00,0.57,949.15,2.16
0.50,-89.00,-9.00,6.00,8.00,4.00,8.55,9.94,37000.00,34631.87,0.94,468.00,37.00,1720.00,0.00,0.00,0.47,949.15,1.16
0.50,-84.00,-6.00,22.00,10.00,4.00,7.77,10.02,24000.00,24719.91,1.03,515.00,24.00,1720.00,0.00,0.00,0.52,949.15,1.62
0.55,-91.00,-7.00,7.00,7.00,4.00,9.36,10.95,22000.00,18799.92,0.85,470.00,22.00,1720.00,0.00,0.00,0.47,949.15,2.13
0.50,-90.00,-9.00,14.00,10.00,9.00,8.79,9.99,27000.00,24569.91,0.91,455.00,27.00,1720.00,0.00,0.00,0.46,949.15,1.63
0.50,-100.00,-9.00,19.00,9.00,9.00,7.58,10.05,26000.00,27455.88,1.06,528.00,26.00,1720.00,0.00,0.00,0.53,949.15,1.46
0.50,-90.00,-5.00,14.00,11.00,7.00,4.59,10.52,12000.00,20903.92,1.74,871.00,12.00,1720.00,0.00,0.00,0.87,949.15,1.91
0.50,-99.00,-8.00,2.00,6.00,7.00,5.27,9.72,38000.00,57683.81,1.52,759.00,38.00,1720.00,0.00,0.00,0.76,949.15,0.69
0.55,-107.00,-13.00,-3.00,5.00,7.00,7.77,10.79,73000.00,75123.36,1.03,566.00,73.00,1720.00,0.00,0.00,0.57,949.15,0.53
0.55,-103.00,-9.00,2.00,7.00,7.00,7.87,11.02,18000.00,18294.47,1.02,559.00,18.00,1720.00,0.00,0.00,0.56,949.15,2.19
0.55,-89.00,-5.00,19.00,13.00,11.00,7.83,10.99,15000.00,15327.22,1.02,562.00,15.00,1720.00,0.00,0.00,0.56,949.15,2.61
0.50,-87.00,-5.00,10.00,13.00,11.00,8.58,9.90,16000.00,14911.95,0.93,466.00,16.00,1720.00,0.00,0.00,0.47,949.15,2.68
0.55,-89.00,-5.00,8.00,10.00,11.00,7.90,11.09,25000.00,25318.09,1.01,557.00,25.00,1720.00,0.00,0.00,0.56,949.15,1.58
0.50,-89.00,-5.00,21.00,11.00,11.00,7.27,9.99,18000.00,19799.91,1.10,550.00,18.00,1720.00,0.00,0.00,0.55,949.15,2.02
0.50,-86.00,-5.00,16.00,15.00,11.00,7.27,10.00,10000.00,10999.95,1.10,550.00,10.00,1720.00,0.00,0.00,0.55,949.15,3.64
0.50,-99.00,-9.00,5.00,9.00,7.00,7.71,9.96,27000.00,28025.89,1.04,519.00,27.00,1720.00,0.00,0.00,0.52,949.15,1.43
0.50,-92.00,-7.00,15.00,15.00,7.00,7.86,10.01,10000.00,10179.96,1.02,509.00,10.00,1720.00,0.00,0.00,0.51,949.15,3.93
0.50,-80.00,-6.00,21.00,11.00,7.00,8.68,10.01,22000.00,20283.93,0.92,461.00,22.00,1720.00,0.00,0.00,0.46,949.15,1.97
0.55,-78.00,-6.00,20.00,15.00,7.00,8.64,11.01,12000.00,11105.42,0.93,509.00,12.00,1720.00,0.00,0.00,0.51,949.15,3.60
0.50,-81.00,-7.00,24.00,15.00,7.00,8.10,9.98,11000.00,10867.95,0.99,494.00,11.00,1720.00,0.00,0.00,0.49,949.15,3.68
0.50,-79.00,-5.00,19.00,15.00,7.00,8.53,9.99,12000.00,11255.95,0.94,469.00,12.00,1720.00,0.00,0.00,0.47,949.15,3.55
0.50,-85.00,-6.00,18.00,10.00,7.00,8.97,9.99,28000.00,24975.92,0.89,446.00,28.00,1720.00,0.00,0.00,0.45,949.15,1.60
0.50,-91.00,-6.00,13.00,10.00,7.00,8.66,9.99,27000.00,24947.91,0.92,462.00,27.00,1720.00,0.00,0.00,0.46,949.15,1.60
0.50,-91.00,-7.00,11.00,14.00,7.00,7.94,10.03,13000.00,13103.95,1.01,504.00,13.00,1720.00,0.00,0.00,0.50,949.15,3.05
0.50,-94.00,-8.00,10.00,9.00,7.00,6.35,10.16,23000.00,28979.89,1.26,630.00,23.00,1720.00,0.00,0.00,0.63,949.15,1.38
0.50,-94.00,-8.00,8.00,12.00,7.00,5.52,10.08,12000.00,17399.94,1.45,725.00,12.00,1720.00,0.00,0.00,0.73,949.15,2.30
0.50,-100.00,-14.00,-3.00,4.00,7.00,5.24,10.05,71000.00,108487.63,1.53,764.00,71.00,1720.00,0.00,0.00,0.76,949.15,0.37
0.55,-93.00,-8.00,5.00,6.00,6.00,6.34,10.92,46000.00,58043.43,1.26,694.00,46.00,1720.00,0.00,0.00,0.69,949.15,0.69
0.55,-100.00,-10.00,-3.00,6.00,13.00,7.79,10.85,55000.00,56499.79,1.03,565.00,55.00,1720.00,0.00,0.00,0.56,949.15,0.71
0.50,-100.00,-11.00,3.00,9.00,13.00,5.17,10.22,18000.00,27863.88,1.55,774.00,18.00,1720.00,0.00,0.00,0.77,949.15,1.44
0.50,-98.00,-9.00,2.00,7.00,15.00,6.39,9.86,15000.00,18779.93,1.25,626.00,15.00,1720.00,0.00,0.00,0.63,949.15,2.13
0.50,-101.00,-13.00,-2.00,7.00,15.00,5.88,10.05,14000.00,19039.91,1.36,680.00,14.00,1720.00,0.00,0.00,0.68,949.15,2.10
0.50,-95.00,-8.00,-1.00,8.00,19.00,5.16,10.10,23000.00,35649.86,1.55,775.00,23.00,1720.00,0.00,0.00,0.78,949.15,1.12
0.55,-98.00,-10.00,6.00,8.00,19.00,4.85,11.10,21000.00,34630.75,1.65,907.00,21.00,1720.00,0.00,0.00,0.91,949.15,1.16
0.50,-105.00,-17.00,-6.00,3.00,19.00,2.53,10.72,56000.00,176958.99,3.16,1580.00,56.00,1720.00,0.00,0.00,1.58,949.15,0.23
0.55,-101.00,-16.00,-7.00,3.00,8.00,7.17,9.99,100000.00,111635.96,1.12,614.00,100.00,1720.00,0.00,0.00,0.61,949.15,0.36
0.50,-92.00,-10.00,0.00,5.00,10.00,6.19,10.05,59000.00,76227.76,1.29,646.00,59.00,1720.00,0.00,0.00,0.65,949.15,0.52
0.50,-87.00,-6.00,10.00,14.00,8.00,6.62,9.99,11000.00,13287.95,1.21,604.00,11.00,1720.00,0.00,0.00,0.60,949.15,3.01
0.55,-90.00,-9.00,2.00,5.00,8.00,7.24,10.96,69000.00,76276.07,1.11,608.00,69.00,1720.00,0.00,0.00,0.61,949.15,0.52
0.55,-92.00,-9.00,1.00,8.00,8.00,6.66,11.05,29000.00,34852.58,1.20,661.00,29.00,1720.00,0.00,0.00,0.66,949.15,1.15
0.50,-89.00,-9.00,-2.00,6.00,8.00,6.61,9.97,48000.00,58079.74,1.21,605.00,48.00,1720.00,0.00,0.00,0.60,949.15,0.69
0.55,-92.00,-9.00,7.00,7.00,8.00,6.30,11.10,15000.00,19036.29,1.27,698.00,15.00,1720.00,0.00,0.00,0.70,949.15,2.10
0.50,-93.00,-10.00,3.00,6.00,8.00,6.98,9.85,49000.00,56153.78,1.15,573.00,49.00,1720.00,0.00,0.00,0.57,949.15,0.71
0.55,-91.00,-10.00,6.00,9.00,8.00,7.18,11.04,25000.00,27863.54,1.11,613.00,25.00,1720.00,0.00,0.00,0.61,949.15,1.44
0.55,-85.00,-8.00,11.00,8.00,8.00,7.19,11.02,32000.00,35607.14,1.11,612.00,32.00,1720.00,0.00,0.00,0.61,949.15,1.12
0.50,-80.00,-8.00,14.00,14.00,8.00,6.29,10.01,10000.00,12719.96,1.27,636.00,10.00,1720.00,0.00,0.00,0.64,949.15,3.14
0.55,-79.00,-6.00,6.00,15.00,1.00,9.24,10.83,13000.00,11250.87,0.87,476.00,13.00,1720.00,0.00,0.00,0.48,949.15,3.56
0.55,-70.00,-5.00,32.00,11.00,1.00,8.64,11.05,22000.00,20359.93,0.93,509.00,22.00,1720.00,0.00,0.00,0.51,949.15,1.96
0.50,-87.00,-7.00,13.00,11.00,1.00,7.41,10.02,19000.00,20519.91,1.08,540.00,19.00,1720.00,0.00,0.00,0.54,949.15,1.95
0.50,-86.00,-7.00,12.00,10.00,1.00,7.13,10.04,22000.00,24683.91,1.12,561.00,22.00,1720.00,0.00,0.00,0.56,949.15,1.62
0.55,-76.00,-6.00,18.00,12.00,2.00,6.60,11.11,14000.00,16978.11,1.21,667.00,14.00,1720.00,0.00,0.00,0.67,949.15,2.36
0.50,-80.00,-5.00,23.00,12.00,2.00,6.80,9.95,15000.00,17639.93,1.18,588.00,15.00,1720.00,0.00,0.00,0.59,949.15,2.27
0.50,-86.00,-7.00,7.00,13.00,2.00,6.15,10.00,11000.00,14299.94,1.30,650.00,11.00,1720.00,0.00,0.00,0.65,949.15,2.80
0.50,-98.00,-8.00,2.00,5.00,2.00,6.23,10.04,59000.00,75755.75,1.28,642.00,59.00,1720.00,0.00,0.00,0.64,949.15,0.53
0.50,-102.00,-11.00,0.00,5.00,2.00,4.65,10.19,43000.00,74045.69,1.72,861.00,43.00,1720.00,0.00,0.00,0.86,949.15,0.54
0.50,-95.00,-11.00,-4.00,6.00,7.00,6.17,9.80,44000.00,57023.81,1.30,648.00,44.00,1720.00,0.00,0.00,0.65,949.15,0.70
0.50,-94.00,-11.00,11.00,11.00,7.00,5.17,10.12,13000.00,20123.92,1.55,774.00,13.00,1720.00,0.00,0.00,0.77,949.15,1.99
0.55,-92.00,-7.00,6.00,10.00,4.00,8.89,10.70,27000.00,24299.91,0.90,495.00,27.00,1720.00,0.00,0.00,0.50,949.15,1.65
0.50,-96.00,-7.00,8.00,6.00,4.00,8.15,9.98,59000.00,57937.78,0.98,491.00,59.00,1720.00,0.00,0.00,0.49,949.15,0.69
0.50,-82.00,-6.00,21.00,12.00,4.00,7.87,10.03,17000.00,17271.92,1.02,508.00,17.00,1720.00,0.00,0.00,0.51,949.15,2.32
0.55,-86.00,-6.00,20.00,12.00,4.00,7.52,11.07,16000.00,17018.11,1.06,585.00,16.00,1720.00,0.00,0.00,0.58,949.15,2.35
