payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.05,-97.00,-10.00,1.00,11.00,20.00,14.05,124.82,35000.00,19923.86,0.57,3443.99,35.00,890.00,0.00,0.00,3.44,706.03,4.02
5.65,-107.00,-12.00,-2.00,7.00,19.00,6.11,126.73,14000.00,18338.68,1.31,7400.99,14.00,890.00,0.00,0.00,7.40,706.03,4.36
2.50,-96.00,-8.00,14.00,14.00,14.00,15.94,41.77,26000.00,13051.96,0.50,1255.00,26.00,890.00,0.00,0.00,1.26,706.03,6.13
6.05,-104.00,-7.00,22.00,11.00,16.00,31.95,121.29,79000.00,19782.58,0.25,1515.00,79.00,2510.00,0.00,0.00,1.52,706.03,2.02
0.75,-96.00,-6.00,27.00,15.00,16.00,22.56,13.71,31000.00,10994.61,0.35,266.00,31.00,2510.00,0.00,0.00,0.27,706.03,3.64
3.30,-86.00,-6.00,22.00,14.00,12.00,27.44,66.71,45000.00,13118.15,0.29,962.00,45.00,890.00,0.00,0.00,0.96,706.03,6.10
0.65,-70.00,-7.00,27.00,15.00,12.00,32.70,12.17,44000.00,10763.04,0.24,159.00,44.00,890.00,0.00,0.00,0.16,706.03,7.43
0.65,-65.00,-5.00,28.00,11.00,12.00,25.87,13.05,64000.00,19790.73,0.31,201.00,64.00,890.00,0.00,0.00,0.20,706.03,4.04
0.80,-77.00,-5.00,28.00,15.00,6.00,29.91,16.06,39000.00,10432.44,0.27,214.00,39.00,1770.00,0.00,0.00,0.21,706.03,3.83
0.60,-81.00,-5.00,30.00,15.00,6.00,23.88,11.96,32000.00,10719.95,0.33,201.00,32.00,1770.00,0.00,0.00,0.20,706.03,3.73
3.00,-103.00,-6.00,19.00,10.00,8.00,51.61,60.24,100000.00,15499.94,0.15,465.00,100.00,2510.00,0.00,0.00,0.46,706.03,2.58
