payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
4.00,-105.00,-11.00,8.00,12.00,18.00,22.02,81.69,47000.00,17072.67,0.36,1453.00,47.00,1770.00,0.00,0.00,1.45,953.09,2.34
3.60,-101.00,-6.00,13.00,14.00,9.00,43.31,71.21,71000.00,13115.24,0.18,665.00,71.00,2510.00,0.00,0.00,0.66,953.09,3.05
0.65,-107.00,-8.00,22.00,7.00,9.00,16.61,12.84,38000.00,18298.37,0.48,313.00,38.00,2510.00,0.00,0.00,0.31,953.09,2.19
0.65,-110.00,-9.00,4.00,8.00,8.00,18.51,12.80,79000.00,34152.19,0.43,281.00,79.00,2510.00,0.00,0.00,0.28,953.09,1.17
0.55,-107.00,-9.00,5.00,8.00,8.00,17.96,10.93,79000.00,35190.68,0.45,245.00,79.00,2510.00,0.00,0.00,0.24,953.09,1.14
0.50,-95.00,-7.00,13.00,10.00,8.00,24.24,9.92,74000.00,24419.92,0.33,165.00,74.00,2510.00,0.00,0.00,0.17,953.09,1.64
0.70,-92.00,-7.00,8.00,15.00,8.00,30.60,14.14,41000.00,10718.53,0.26,183.00,41.00,2510.00,0.00,0.00,0.18,953.09,3.73
1.55,-104.00,-7.00,3.00,11.00,9.00,6.24,34.01,16000.00,20500.57,1.28,1986.01,16.00,2510.00,0.00,0.00,1.99,953.09,1.95
0.95,-103.00,-6.00,10.00,15.00,9.00,33.48,16.08,46000.00,10991.54,0.24,227.00,46.00,2510.00,0.00,0.00,0.23,953.09,3.64
0.75,-90.00,-6.00,21.00,15.00,7.00,33.33,14.98,44000.00,10559.95,0.24,180.00,44.00,2510.00,0.00,0.00,0.18,953.09,3.79
0.55,-91.00,-5.00,27.00,15.00,6.00,27.33,10.79,37000.00,10830.87,0.29,161.00,37.00,2510.00,0.00,0.00,0.16,953.09,3.69
0.60,-88.00,-6.00,37.00,14.00,6.00,28.07,12.00,46000.00,13109.94,0.28,171.00,46.00,2510.00,0.00,0.00,0.17,953.09,3.05
0.50,-88.00,-6.00,36.00,15.00,6.00,23.26,9.99,31000.00,10663.96,0.34,172.00,31.00,2510.00,0.00,0.00,0.17,953.09,3.75
0.65,-95.00,-6.00,19.00,15.00,6.00,26.80,13.21,36000.00,10744.58,0.30,194.00,36.00,2510.00,0.00,0.00,0.19,953.09,3.72
0.65,-112.00,-11.00,2.00,8.00,6.00,11.90,13.29,51000.00,34287.44,0.67,437.00,51.00,2510.00,0.00,0.00,0.44,953.09,1.17
1.15,-96.00,-5.00,11.00,10.00,10.00,28.48,22.67,86000.00,24154.67,0.28,323.00,86.00,2510.00,0.00,0.00,0.32,953.09,1.66
0.85,-105.00,-7.00,18.00,15.00,10.00,17.71,17.08,24000.00,10842.31,0.45,384.00,24.00,2510.00,0.00,0.00,0.38,953.09,3.69
0.50,-106.00,-6.00,16.00,15.00,10.00,19.61,9.82,27000.00,11015.97,0.41,204.00,27.00,2510.00,0.00,0.00,0.20,953.09,3.63
0.55,-109.00,-7.00,14.00,15.00,10.00,26.35,10.95,36000.00,10930.87,0.30,167.00,36.00,2510.00,0.00,0.00,0.17,953.09,3.66
0.60,-104.00,-6.00,18.00,15.00,10.00,19.92,12.26,27000.00,10844.95,0.40,241.00,27.00,2510.00,0.00,0.00,0.24,953.09,3.69
0.50,-106.00,-6.00,17.00,9.00,8.00,24.39,9.73,84000.00,27551.94,0.33,164.00,84.00,2510.00,0.00,0.00,0.16,953.09,1.45
