payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.50,-99.00,-6.00,25.00,12.00,7.00,7.04,10.82,15000.00,17039.94,1.14,568.00,15.00,890.00,0.00,0.00,0.57,684.07,4.69
0.50,-109.00,-11.00,5.00,9.00,7.00,4.25,10.35,15000.00,28229.91,1.88,941.00,15.00,890.00,0.00,0.00,0.94,684.07,2.83
0.55,-108.00,-11.00,5.00,8.00,7.00,13.13,10.35,57000.00,34717.99,0.61,335.00,57.00,890.00,0.00,0.00,0.33,684.07,2.30
0.50,-104.00,-8.00,5.00,5.00,7.00,7.01,10.42,66000.00,75371.72,1.14,571.00,66.00,890.00,0.00,0.00,0.57,684.07,1.06
0.50,-111.00,-11.00,0.00,6.00,24.00,6.29,10.39,44000.00,55967.81,1.27,636.00,44.00,890.00,0.00,0.00,0.64,684.07,1.43
0.50,-108.00,-11.00,1.00,6.00,24.00,10.15,9.47,73000.00,57523.91,0.79,394.00,73.00,890.00,0.00,0.00,0.39,684.07,1.39
0.50,-107.00,-9.00,2.00,9.00,24.00,8.57,10.03,30000.00,28019.90,0.93,467.00,30.00,890.00,0.00,0.00,0.47,684.07,2.86
0.50,-105.00,-10.00,-1.00,5.00,24.00,9.43,9.79,90000.00,76319.69,0.85,424.00,90.00,890.00,0.00,0.00,0.42,684.07,1.05
0.50,-108.00,-11.00,-2.00,5.00,24.00,7.30,10.13,69000.00,75623.69,1.10,548.00,69.00,890.00,0.00,0.00,0.55,684.07,1.06
0.50,-100.00,-10.00,-6.00,7.00,24.00,5.97,10.14,14000.00,18759.93,1.34,670.00,14.00,890.00,0.00,0.00,0.67,684.07,4.26
0.50,-97.00,-6.00,14.00,9.00,24.00,13.70,9.61,47000.00,27447.86,0.58,292.00,47.00,890.00,0.00,0.00,0.29,684.07,2.91
