payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
7.15,-100.00,-10.00,2.00,6.00,9.00,50.53,142.01,100000.00,15832.12,0.16,1132.00,100.00,890.00,0.00,0.00,1.13,943.01,2.53
2.80,-88.00,-5.00,16.00,15.00,8.00,22.63,56.00,31000.00,10960.70,0.35,990.00,31.00,1770.00,0.00,0.00,0.99,943.01,3.65
1.50,-70.00,-6.00,24.00,15.00,4.00,53.57,30.00,70000.00,10453.30,0.15,224.00,70.00,1770.00,0.00,0.00,0.22,943.01,3.83
2.70,-97.00,-7.00,14.00,11.00,6.00,25.06,54.00,64000.00,20432.51,0.32,862.00,64.00,2510.00,0.00,0.00,0.86,943.01,1.96
2.60,-98.00,-8.00,6.00,14.00,7.00,22.08,52.00,36000.00,13043.01,0.36,942.00,36.00,1770.00,0.00,0.00,0.94,943.01,3.07
1.55,-83.00,-5.00,28.00,15.00,7.00,45.42,31.00,61000.00,10743.83,0.18,273.00,61.00,2510.00,0.00,0.00,0.27,943.01,3.72
1.60,-82.00,-5.00,29.00,15.00,4.00,46.21,32.00,63000.00,10906.82,0.17,277.00,63.00,2510.00,0.00,0.00,0.28,943.01,3.67
1.80,-90.00,-6.00,19.00,10.00,4.00,47.52,36.00,100000.00,16833.28,0.17,303.00,100.00,2510.00,0.00,0.00,0.30,943.01,2.38
2.15,-82.00,-5.00,23.00,12.00,7.00,32.09,43.00,67000.00,16703.18,0.25,536.00,67.00,2510.00,0.00,0.00,0.54,943.01,2.39
1.70,-89.00,-5.00,24.00,14.00,5.00,39.88,34.02,64000.00,12837.58,0.20,341.00,64.00,2510.00,0.00,0.00,0.34,943.01,3.12
1.50,-89.00,-5.00,24.00,15.00,5.00,35.71,29.98,47000.00,10527.97,0.22,336.00,47.00,2510.00,0.00,0.00,0.34,943.01,3.80
1.50,-87.00,-5.00,22.00,15.00,5.00,38.84,30.00,53000.00,10917.96,0.21,309.00,53.00,2510.00,0.00,0.00,0.31,943.01,3.66
3.90,-100.00,-9.00,0.00,15.00,8.00,31.74,78.00,43000.00,10838.16,0.25,983.00,43.00,890.00,0.00,0.00,0.98,943.01,3.69
1.50,-83.00,-6.00,25.00,15.00,9.00,52.17,30.00,70000.00,10733.29,0.15,230.00,70.00,2510.00,0.00,0.00,0.23,943.01,3.73
11.55,-109.00,-10.00,6.00,9.00,65.00,11.90,231.00,41000.00,27553.30,0.67,7761.97,41.00,1770.00,0.00,0.00,7.76,943.01,1.45
