payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.00,-92.00,-14.00,-3.00,4.00,22.00,5.46,130.59,76000.00,111377.55,1.47,8792.99,76.00,850.00,11.51,17.22,8.79,989.24,0.72
6.05,-93.00,-7.00,7.00,15.00,13.00,3.91,123.79,5000.00,10239.63,2.05,12390.00,5.00,1845.00,17.15,16.20,12.39,989.24,7.81
1.45,-109.00,-10.00,23.00,8.00,16.00,3.61,19.26,16000.00,35442.63,2.22,3212.01,16.00,2135.00,4.66,17.12,3.21,989.24,1.13
0.55,-105.00,-8.00,26.00,12.00,16.00,5.93,8.48,13000.00,17538.12,1.35,742.00,13.00,2135.00,1.06,16.88,0.74,989.24,2.28
0.50,-107.00,-9.00,27.00,10.00,16.00,6.71,9.86,21000.00,25031.92,1.19,596.00,21.00,2135.00,0.85,16.86,0.60,989.24,1.60
0.55,-102.00,-8.00,27.00,10.00,16.00,5.98,11.18,18000.00,24087.20,1.34,736.00,18.00,2135.00,1.05,16.80,0.74,989.24,1.66
0.55,-94.00,-9.00,27.00,14.00,16.00,5.91,11.00,10000.00,13527.22,1.35,744.00,10.00,2135.00,0.94,14.22,0.74,989.24,2.96
0.50,-94.00,-9.00,25.00,15.00,16.00,6.64,9.86,9000.00,10835.96,1.20,602.00,9.00,2135.00,0.85,16.64,0.60,989.24,3.69
0.50,-99.00,-11.00,30.00,15.00,16.00,5.46,10.12,7000.00,10261.95,1.47,733.00,7.00,2135.00,0.93,14.47,0.73,989.24,3.90
0.55,-95.00,-8.00,31.00,11.00,16.00,9.15,10.71,23000.00,20114.48,0.87,481.00,23.00,2135.00,0.64,15.42,0.48,989.24,1.99
0.55,-95.00,-7.00,30.00,10.00,16.00,6.83,11.20,21000.00,24589.01,1.17,644.00,21.00,2135.00,0.84,15.12,0.64,989.24,1.63
0.50,-92.00,-9.00,28.00,15.00,16.00,8.51,9.83,12000.00,11279.96,0.94,470.00,12.00,2135.00,0.59,14.22,0.47,989.24,3.55
0.85,-92.00,-11.00,28.00,10.00,16.00,9.62,17.23,29000.00,24121.09,0.83,707.00,29.00,2135.00,0.88,13.80,0.71,989.24,1.66
0.55,-94.00,-10.00,34.00,15.00,16.00,8.15,10.82,11000.00,10799.96,0.98,540.00,11.00,2135.00,0.68,14.28,0.54,989.24,3.70
0.50,-95.00,-10.00,32.00,13.00,16.00,8.13,9.92,15000.00,14759.95,0.98,492.00,15.00,2135.00,0.65,15.22,0.49,989.24,2.71
1.55,-80.00,-6.00,19.00,15.00,12.00,20.46,31.25,28000.00,10947.07,0.39,606.00,28.00,1845.00,0.61,4.12,0.61,989.24,4.87
0.55,-82.00,-6.00,34.00,15.00,6.00,9.57,10.74,13000.00,10872.69,0.84,460.00,13.00,1845.00,0.57,13.66,0.46,989.24,4.91
0.50,-80.00,-6.00,34.00,12.00,6.00,11.73,9.87,25000.00,17049.86,0.68,341.00,25.00,1845.00,0.32,0.73,0.34,989.24,3.13
0.65,-76.00,-7.00,25.00,11.00,7.00,14.90,13.00,37000.00,19866.04,0.54,349.00,37.00,1845.00,0.32,-1.77,0.35,989.24,2.68
0.50,-71.00,-6.00,30.00,14.00,7.00,13.03,9.96,21000.00,12893.92,0.61,307.00,21.00,1845.00,0.28,-7.31,0.31,989.24,4.14
0.60,-74.00,-6.00,28.00,15.00,7.00,14.41,12.03,20000.00,11099.93,0.55,333.00,20.00,1845.00,0.31,-3.11,0.33,989.24,4.80
0.55,-82.00,-6.00,27.00,12.00,7.00,12.15,11.02,26000.00,17112.72,0.66,362.00,26.00,1845.00,0.45,13.80,0.36,989.24,3.12
0.50,-83.00,-7.00,25.00,12.00,7.00,13.51,9.93,29000.00,17167.89,0.59,296.00,29.00,1845.00,0.33,8.50,0.30,989.24,3.11
0.85,-82.00,-7.00,23.00,12.00,7.00,16.27,17.17,35000.00,17211.70,0.49,418.00,35.00,1845.00,0.47,9.11,0.42,989.24,3.10
0.75,-75.00,-7.00,26.00,13.00,1.00,15.08,14.97,28000.00,14858.64,0.53,398.00,28.00,1845.00,0.37,-2.12,0.40,989.24,3.59
0.50,-68.00,-5.00,28.00,15.00,1.00,12.90,9.89,17000.00,10539.94,0.62,310.00,17.00,1845.00,0.29,-6.72,0.31,989.24,5.06
5.45,-86.00,-9.00,16.00,13.00,11.00,17.61,111.21,33000.00,14992.25,0.45,2476.00,33.00,1845.00,3.70,17.73,2.48,989.24,3.56
5.15,-87.00,-11.00,22.00,12.00,8.00,12.42,103.85,27000.00,17390.04,0.64,3317.00,27.00,1845.00,4.45,15.61,3.32,989.24,4.60
0.55,-89.00,-6.00,25.00,11.00,8.00,9.98,8.11,25000.00,20045.38,0.80,441.00,25.00,1845.00,0.64,17.17,0.44,989.24,3.99
6.05,-96.00,-9.00,-2.00,15.00,7.00,8.23,126.61,11000.00,10694.50,0.97,5881.99,11.00,1845.00,10.34,20.88,5.88,989.24,4.99
0.95,-80.00,-6.00,20.00,15.00,5.00,17.31,13.32,24000.00,11090.51,0.46,439.00,24.00,1845.00,0.41,1.23,0.44,989.24,4.81
