payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.05,-96.00,-11.00,9.00,15.00,9.00,12.75,119.40,17000.00,10666.42,0.63,3796.00,17.00,1845.00,5.74,17.94,3.80,1425.10,7.50
2.80,-71.00,-8.00,19.00,15.00,3.00,15.97,166.40,22000.00,11023.56,0.50,1403.00,22.00,1845.00,1.29,-4.20,1.40,1425.10,4.84
6.00,-78.00,-6.00,17.00,15.00,7.00,15.53,121.74,21000.00,10814.99,0.51,3090.01,21.00,1845.00,2.91,2.08,3.09,1425.10,4.93
3.65,-74.00,-7.00,19.00,15.00,6.00,13.58,72.20,18000.00,10607.66,0.59,2151.00,18.00,1845.00,2.37,7.27,2.15,1425.10,5.03
6.05,-80.00,-8.00,13.00,15.00,4.00,14.11,122.27,19000.00,10775.02,0.57,3431.01,19.00,1845.00,4.30,14.00,3.43,1425.10,4.95
6.05,-67.00,-6.00,23.00,15.00,2.00,15.58,120.67,21000.00,10784.58,0.51,3107.00,21.00,1845.00,2.89,-1.28,3.11,1425.10,4.95
6.05,-91.00,-11.00,-1.00,15.00,13.00,9.30,123.22,13000.00,11179.96,0.86,5203.00,13.00,1845.00,6.10,12.25,5.20,1425.10,7.16
6.05,-95.00,-14.00,-9.00,15.00,7.00,6.37,123.71,9000.00,11305.73,1.26,7599.99,9.00,1845.00,12.51,19.69,7.60,1425.10,7.08
6.05,-92.00,-10.00,4.00,15.00,7.00,10.34,117.76,14000.00,10834.34,0.77,4682.00,14.00,1845.00,5.48,12.20,4.68,1425.10,4.92
6.00,-100.00,-15.00,0.00,9.00,7.00,10.05,119.94,34000.00,27075.18,0.80,4777.99,34.00,1845.00,6.05,14.27,4.78,1425.10,1.97
