payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.50,-100.00,-13.00,-3.00,5.00,18.00,4.66,10.18,43000.00,73873.64,1.72,859.00,43.00,1845.00,1.43,19.92,0.86,949.02,1.08
0.50,-95.00,-12.00,-5.00,7.00,18.00,6.57,9.71,15000.00,18269.93,1.22,609.00,15.00,1845.00,0.84,16.16,0.61,949.02,4.38
0.50,-95.00,-11.00,-3.00,4.00,18.00,5.49,10.13,76000.00,110807.56,1.46,729.00,76.00,1845.00,1.11,18.05,0.73,949.02,0.72
0.50,-94.00,-10.00,-4.00,6.00,18.00,5.42,10.03,38000.00,56087.84,1.48,738.00,38.00,1845.00,0.88,12.80,0.74,949.02,1.43
0.55,-94.00,-10.00,-4.00,8.00,18.00,6.86,10.89,31000.00,36128.96,1.17,641.00,31.00,1845.00,0.77,12.80,0.64,949.02,2.21
0.50,-94.00,-11.00,-5.00,7.00,18.00,6.10,10.01,14000.00,18367.94,1.31,656.00,14.00,1845.00,0.79,12.80,0.66,949.02,4.36
0.50,-92.00,-11.00,-3.00,7.00,18.00,8.53,9.81,20000.00,18759.92,0.94,469.00,20.00,1845.00,0.56,12.92,0.47,949.02,4.26
0.50,-93.00,-12.00,-5.00,6.00,18.00,6.02,10.23,42000.00,55775.78,1.33,664.00,42.00,1845.00,0.76,11.05,0.66,949.02,1.43
0.55,-96.00,-14.00,-7.00,6.00,19.00,7.32,10.90,51000.00,55728.87,1.09,601.00,51.00,1845.00,0.73,13.03,0.60,949.02,1.44
0.55,-90.00,-8.00,7.00,5.00,9.00,6.45,11.21,61000.00,75639.68,1.24,682.00,61.00,1845.00,1.04,18.12,0.68,949.02,0.71
0.50,-90.00,-10.00,-4.00,6.00,11.00,9.07,9.62,64000.00,56447.78,0.88,441.00,64.00,1845.00,0.65,17.36,0.44,949.02,1.42
0.50,-100.00,-11.00,1.00,8.00,13.00,2.90,10.93,13000.00,35853.91,2.76,1379.00,13.00,1845.00,2.20,19.03,1.38,949.02,1.49
0.50,-93.00,-10.00,8.00,7.00,13.00,7.59,9.18,18000.00,18971.93,1.05,527.00,18.00,1845.00,0.78,17.64,0.53,949.02,4.22
0.50,-90.00,-9.00,3.00,7.00,13.00,7.84,10.02,18000.00,18359.92,1.02,510.00,18.00,1845.00,0.81,18.95,0.51,949.02,4.36
0.55,-91.00,-12.00,1.00,10.00,13.00,10.68,10.87,33000.00,24719.80,0.75,412.00,33.00,1845.00,0.54,15.30,0.41,949.02,3.24
0.50,-93.00,-8.00,8.00,5.00,12.00,7.35,10.13,71000.00,77247.70,1.09,544.00,71.00,1845.00,0.69,14.50,0.54,949.02,0.69
0.55,-92.00,-9.00,8.00,7.00,12.00,8.51,11.04,20000.00,18799.93,0.94,517.00,20.00,1845.00,0.67,14.81,0.52,949.02,2.84
0.50,-98.00,-10.00,1.00,6.00,12.00,6.99,10.11,49000.00,56055.82,1.14,572.00,49.00,1845.00,0.80,16.53,0.57,949.02,0.95
0.50,-93.00,-10.00,4.00,6.00,12.00,7.30,9.86,51000.00,55895.77,1.10,548.00,51.00,1845.00,0.82,17.64,0.55,949.02,0.95
0.50,-93.00,-8.00,8.00,10.00,12.00,7.74,9.97,24000.00,24815.92,1.03,517.00,24.00,1845.00,0.61,12.45,0.52,949.02,2.15
0.50,-86.00,-7.00,7.00,6.00,12.00,7.39,10.11,53000.00,57345.81,1.08,541.00,53.00,1845.00,0.60,7.52,0.54,949.02,0.93
0.50,-79.00,-12.00,10.00,8.00,12.00,9.55,9.82,41000.00,34357.85,0.84,419.00,41.00,1845.00,0.46,7.97,0.42,949.02,1.55
0.50,-80.00,-11.00,10.00,9.00,12.00,9.05,10.02,32000.00,28287.89,0.88,442.00,32.00,1845.00,0.47,5.72,0.44,949.02,1.89
0.55,-77.00,-7.00,16.00,5.00,12.00,10.92,10.95,100000.00,73272.15,0.73,403.00,100.00,1845.00,0.38,-1.02,0.40,949.02,0.73
0.50,-69.00,-8.00,23.00,10.00,12.00,10.23,9.96,32000.00,25023.95,0.78,391.00,32.00,1845.00,0.37,1.78,0.39,949.02,2.13
0.50,-66.00,-5.00,26.00,15.00,12.00,9.85,10.06,13000.00,10555.96,0.81,406.00,13.00,1845.00,0.37,-5.80,0.41,949.02,5.05
0.50,-76.00,-8.00,14.00,12.00,12.00,8.91,10.03,19000.00,17061.93,0.90,449.00,19.00,1845.00,0.45,4.06,0.45,949.02,3.13
0.50,-73.00,-11.00,5.00,10.00,12.00,11.53,9.89,35000.00,24289.95,0.69,347.00,35.00,1845.00,0.32,-3.39,0.35,949.02,2.20
0.55,-74.00,-9.00,-3.00,5.00,1.00,8.29,11.18,78000.00,75305.20,0.97,531.00,78.00,1845.00,0.49,-1.88,0.53,949.02,0.71
0.50,-72.00,-9.00,21.00,15.00,11.00,8.40,9.97,11000.00,10471.96,0.95,476.00,11.00,1845.00,0.45,0.27,0.48,949.02,5.09
0.50,-76.00,-10.00,8.00,9.00,11.00,6.80,10.12,24000.00,28223.88,1.18,588.00,24.00,1845.00,0.55,-1.59,0.59,949.02,1.89
0.50,-74.00,-11.00,19.00,10.00,11.00,4.71,10.24,14000.00,23771.93,1.70,849.00,14.00,1845.00,0.83,3.12,0.85,949.02,2.24
0.50,-68.00,-6.00,24.00,15.00,11.00,6.86,9.73,9000.00,10493.96,1.17,583.00,9.00,1845.00,0.54,-4.41,0.58,949.02,5.08
0.50,-68.00,-7.00,28.00,15.00,11.00,6.53,10.06,9000.00,11033.96,1.23,613.00,9.00,1845.00,0.56,-6.12,0.61,949.02,4.83
0.50,-70.00,-6.00,27.00,12.00,11.00,6.51,10.00,14000.00,17191.94,1.23,614.00,14.00,1845.00,0.57,-7.73,0.61,949.02,3.10
0.50,-72.00,-5.00,25.00,12.00,11.00,8.66,9.84,19000.00,17555.94,0.92,462.00,19.00,1845.00,0.42,-3.17,0.46,949.02,3.04
0.50,-69.00,-6.00,19.00,13.00,11.00,7.45,10.06,14000.00,15035.94,1.07,537.00,14.00,1845.00,0.50,-0.14,0.54,949.02,3.55
0.50,-77.00,-7.00,17.00,13.00,11.00,6.53,10.08,12000.00,14711.94,1.23,613.00,12.00,1845.00,0.58,0.05,0.61,949.02,3.63
0.50,-80.00,-7.00,20.00,13.00,11.00,7.63,9.90,14000.00,14671.94,1.05,524.00,14.00,1845.00,0.49,-1.16,0.52,949.02,3.64
0.50,-82.00,-7.00,14.00,11.00,11.00,7.60,10.03,19000.00,19987.93,1.05,526.00,19.00,1845.00,0.60,10.26,0.53,949.02,2.67
0.50,-77.00,-8.00,17.00,11.00,1.00,8.58,9.95,22000.00,20503.93,0.93,466.00,22.00,1845.00,0.44,1.60,0.47,949.02,2.60
0.50,-77.00,-7.00,15.00,11.00,1.00,8.02,10.01,20000.00,19959.93,1.00,499.00,20.00,1845.00,0.46,-1.13,0.50,949.02,2.67
0.50,-61.00,-8.00,22.00,12.00,1.00,9.55,9.92,21000.00,17597.93,0.84,419.00,21.00,1845.00,0.39,-9.31,0.42,949.02,3.03
0.55,-76.00,-7.00,18.00,14.00,1.00,8.24,11.13,13000.00,12621.77,0.97,534.00,13.00,1845.00,0.50,1.95,0.53,949.02,4.23
0.50,-81.00,-7.00,12.00,13.00,1.00,8.03,9.98,15000.00,14939.94,1.00,498.00,15.00,1845.00,0.55,7.66,0.50,949.02,3.57
0.50,-89.00,-10.00,12.00,12.00,1.00,7.23,10.02,16000.00,17695.93,1.11,553.00,16.00,1845.00,0.76,16.02,0.55,949.02,3.01
0.50,-87.00,-6.00,19.00,12.00,1.00,8.73,9.93,19000.00,17403.93,0.92,458.00,19.00,1845.00,0.65,16.84,0.46,949.02,3.06
