payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
4.65,-91.00,-6.00,33.00,15.00,7.00,19.06,91.04,26000.00,10914.40,0.42,1952.01,26.00,1845.00,2.20,10.03,1.95,677.04,4.89
1.75,-80.00,-5.00,29.00,15.00,2.00,17.01,35.00,23000.00,10816.53,0.47,823.00,23.00,1845.00,0.86,5.59,0.82,677.04,3.70
3.45,-87.00,-6.00,26.00,15.00,11.00,19.34,69.00,26000.00,10754.19,0.41,1427.00,26.00,1845.00,1.90,15.45,1.43,677.04,4.96
2.15,-71.00,-5.00,32.00,15.00,2.00,17.23,43.00,23000.00,10676.26,0.46,998.00,23.00,1845.00,0.92,-4.20,1.00,677.04,5.00
2.05,-83.00,-5.00,21.00,14.00,4.00,17.47,41.01,29000.00,13283.33,0.46,939.00,29.00,1845.00,1.07,10.54,0.94,677.04,4.02
2.80,-83.00,-5.00,25.00,15.00,16.00,23.86,56.00,32000.00,10731.37,0.34,939.00,32.00,1845.00,1.19,14.40,0.94,677.04,4.97
4.25,-84.00,-6.00,17.00,10.00,19.00,21.53,84.99,65000.00,24149.32,0.37,1579.00,65.00,1845.00,1.83,11.86,1.58,677.04,2.21
2.60,-88.00,-7.00,5.00,10.00,18.00,8.30,52.01,26000.00,25049.92,0.96,2505.00,26.00,1845.00,3.98,18.94,2.51,677.04,2.13
3.80,-91.00,-7.00,18.00,11.00,9.00,17.50,75.99,44000.00,20112.56,0.46,1737.00,44.00,1845.00,2.75,18.91,1.74,677.04,2.65
3.95,-79.00,-7.00,10.00,15.00,4.00,27.34,79.00,37000.00,10828.33,0.29,1156.00,37.00,1845.00,1.26,6.78,1.16,677.04,4.93
