payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.55,-85.00,-5.00,34.00,15.00,7.00,4.08,12.28,6000.00,11770.85,1.96,1079.00,6.00,1815.00,1.33,13.52,1.08,988.26,3.40
1.10,-80.00,-6.00,26.00,15.00,4.00,12.96,21.53,17000.00,10493.58,0.62,679.00,17.00,1815.00,0.64,0.79,0.68,988.26,3.81
0.55,-80.00,-7.00,22.00,15.00,4.00,8.89,10.83,12000.00,10799.96,0.90,495.00,12.00,1815.00,0.46,0.05,0.50,988.26,3.70
0.60,-83.00,-7.00,22.00,15.00,4.00,8.33,12.09,11000.00,10559.95,0.96,576.00,11.00,1815.00,0.59,4.73,0.58,988.26,3.79
0.60,-83.00,-8.00,25.00,10.00,4.00,10.41,11.90,32000.00,24586.54,0.77,461.00,32.00,1815.00,0.51,7.06,0.46,988.26,1.63
6.00,-87.00,-9.00,4.00,13.00,6.00,32.28,121.01,58000.00,14374.27,0.25,1487.00,58.00,1815.00,2.01,15.73,1.49,988.26,2.78
2.40,-96.00,-8.00,25.00,11.00,16.00,8.82,48.67,22000.00,19955.76,0.91,2177.00,22.00,1815.00,3.28,17.88,2.18,988.26,2.00
6.05,-99.00,-10.00,1.00,4.00,4.00,17.97,121.52,100000.00,44528.80,0.45,2694.00,100.00,1815.00,4.57,20.28,2.69,988.26,0.90
0.50,-97.00,-10.00,18.00,11.00,9.00,8.64,7.76,22000.00,20371.93,0.93,463.00,22.00,1815.00,0.78,20.08,0.46,988.26,1.96
5.70,-86.00,-6.00,25.00,15.00,10.00,28.79,115.17,38000.00,10559.96,0.28,1584.00,38.00,1815.00,1.87,12.50,1.58,988.26,3.79
3.05,-82.00,-5.00,24.00,15.00,7.00,25.60,60.41,34000.00,10623.55,0.31,953.00,34.00,1815.00,1.18,13.59,0.95,988.26,3.77
1.05,-79.00,-5.00,25.00,15.00,4.00,12.92,20.64,17000.00,10523.79,0.62,650.00,17.00,1815.00,0.69,6.06,0.65,988.26,3.80
1.05,-93.00,-8.00,24.00,10.00,4.00,15.53,20.87,47000.00,24216.04,0.52,541.00,47.00,1815.00,0.75,16.31,0.54,988.26,1.65
6.05,-99.00,-10.00,3.00,8.00,21.00,13.00,124.19,57000.00,35066.67,0.62,3722.00,57.00,1815.00,5.47,17.38,3.72,988.26,1.14
5.60,-71.00,-6.00,23.00,12.00,2.00,29.47,109.81,62000.00,16828.51,0.27,1520.00,62.00,1815.00,1.41,-1.31,1.52,988.26,2.38
1.20,-81.00,-5.00,37.00,12.00,2.00,16.24,23.07,35000.00,17237.45,0.49,591.00,35.00,1815.00,0.62,5.58,0.59,988.26,2.32
0.55,-84.00,-6.00,17.00,10.00,2.00,12.29,10.74,37000.00,24083.64,0.65,358.00,37.00,1815.00,0.38,5.53,0.36,988.26,1.66
0.50,-89.00,-6.00,32.00,10.00,2.00,10.10,10.03,30000.00,23760.02,0.79,396.00,30.00,1815.00,0.45,10.89,0.40,988.26,1.68
1.05,-84.00,-7.00,18.00,9.00,2.00,14.29,21.22,49000.00,27439.84,0.56,588.00,49.00,1815.00,0.63,6.09,0.59,988.26,1.46
0.70,-81.00,-9.00,24.00,15.00,2.00,9.86,13.96,13000.00,10548.53,0.81,568.00,13.00,1815.00,0.53,-0.45,0.57,988.26,3.79
0.65,-82.00,-8.00,23.00,12.00,2.00,10.59,12.92,23000.00,17373.73,0.76,491.00,23.00,1815.00,0.55,8.42,0.49,988.26,2.30
3.15,-84.00,-7.00,19.00,15.00,5.00,26.17,63.56,36000.00,11005.68,0.31,963.00,36.00,1815.00,1.15,12.66,0.96,988.26,3.63
