payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
2.10,-78.00,-5.00,30.00,15.00,4.00,18.50,43.06,25000.00,10809.47,0.43,908.00,25.00,1815.00,0.85,1.98,0.91,944.02,3.70
2.90,-97.00,-7.00,6.00,12.00,12.00,11.39,59.07,25000.00,17560.34,0.70,2037.01,25.00,1815.00,3.28,19.25,2.04,944.02,2.28
4.15,-85.00,-10.00,-3.00,7.00,6.00,28.11,82.16,65000.00,18497.50,0.28,1181.00,65.00,1815.00,1.47,13.81,1.18,944.02,2.16
4.05,-95.00,-8.00,10.00,10.00,5.00,24.04,81.16,72000.00,23964.35,0.33,1348.00,72.00,1815.00,2.16,19.12,1.35,944.02,1.67
2.00,-87.00,-7.00,7.00,12.00,5.00,19.46,39.45,42000.00,17261.93,0.41,822.00,42.00,1815.00,1.27,18.30,0.82,944.02,2.32
2.20,-94.00,-9.00,10.00,15.00,4.00,12.89,44.59,17000.00,10547.71,0.62,1365.00,17.00,1815.00,2.28,19.97,1.37,944.02,3.79
2.85,-90.00,-6.00,14.00,15.00,4.00,15.65,57.05,21000.00,10735.72,0.51,1457.00,21.00,1815.00,2.38,19.56,1.46,944.02,3.73
3.05,-89.00,-6.00,13.00,11.00,7.00,16.04,61.12,40000.00,19947.51,0.50,1521.00,40.00,1815.00,2.44,19.11,1.52,944.02,2.01
2.15,-94.00,-9.00,-3.00,6.00,11.00,12.79,42.78,92000.00,57553.06,0.63,1345.00,92.00,1815.00,2.21,19.67,1.34,944.02,0.70
2.00,-83.00,-6.00,19.00,15.00,6.00,21.74,39.49,29000.00,10671.97,0.37,736.00,29.00,1815.00,0.89,12.91,0.74,944.02,3.75
6.00,-92.00,-9.00,-3.00,6.00,9.00,27.63,120.92,100000.00,28949.84,0.29,1737.00,100.00,1815.00,2.98,20.44,1.74,944.02,1.38
2.20,-91.00,-10.00,2.00,8.00,9.00,15.32,43.38,66000.00,34469.93,0.52,1149.00,66.00,1815.00,1.93,20.09,1.15,944.02,1.16
2.30,-80.00,-6.00,20.00,15.00,2.00,22.86,45.68,31000.00,10849.97,0.35,805.00,31.00,1815.00,0.90,8.34,0.81,944.02,3.69
1.90,-86.00,-6.00,22.00,15.00,2.00,14.34,38.25,19000.00,10599.94,0.56,1060.00,19.00,1815.00,1.17,7.16,1.06,944.02,3.77
2.25,-83.00,-9.00,9.00,15.00,3.00,12.76,45.42,17000.00,10660.81,0.63,1411.00,17.00,1815.00,1.89,15.61,1.41,944.02,3.75
3.60,-95.00,-10.00,7.00,9.00,4.00,23.13,71.77,79000.00,27320.75,0.35,1245.00,79.00,1815.00,2.01,19.23,1.24,944.02,1.46
