payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.55,-87.00,-6.00,5.00,9.00,7.00,8.33,11.62,29000.00,27839.88,0.96,528.00,29.00,1815.00,0.64,13.12,0.53,921.16,1.44
0.50,-83.00,-6.00,14.00,14.00,4.00,9.09,9.86,15000.00,13199.96,0.88,440.00,15.00,1815.00,0.51,12.21,0.44,921.16,3.03
0.50,-82.00,-7.00,25.00,12.00,4.00,9.41,9.98,20000.00,16999.94,0.85,425.00,20.00,1815.00,0.49,11.06,0.43,921.16,2.35
0.55,-83.00,-6.00,19.00,11.00,4.00,9.38,11.05,24000.00,20465.37,0.85,469.00,24.00,1815.00,0.53,9.61,0.47,921.16,1.95
0.50,-90.00,-6.00,11.00,14.00,4.00,8.05,10.05,13000.00,12921.95,0.99,497.00,13.00,1815.00,0.72,17.17,0.50,921.16,3.10
0.55,-101.00,-10.00,7.00,11.00,10.00,8.12,11.01,20000.00,19709.02,0.99,542.00,20.00,1815.00,0.91,20.12,0.54,921.16,2.03
0.50,-94.00,-7.00,14.00,9.00,10.00,6.77,10.06,24000.00,28367.87,1.18,591.00,24.00,1815.00,0.82,16.34,0.59,921.16,1.41
0.50,-96.00,-8.00,11.00,12.00,11.00,5.21,10.19,11000.00,16895.95,1.54,768.00,11.00,1815.00,1.22,18.89,0.77,921.16,2.37
0.55,-94.00,-6.00,21.00,11.00,9.00,8.63,10.74,22000.00,20399.93,0.93,510.00,22.00,1815.00,0.71,16.45,0.51,921.16,1.96
0.55,-104.00,-10.00,4.00,6.00,9.00,8.59,10.96,60000.00,55854.35,0.93,512.00,60.00,1815.00,0.88,20.44,0.51,921.16,0.72
0.50,-91.00,-10.00,1.00,5.00,9.00,5.93,10.22,56000.00,75487.72,1.35,674.00,56.00,1815.00,1.02,18.00,0.67,921.16,0.53
0.50,-89.00,-10.00,3.00,9.00,9.00,11.73,9.63,41000.00,27961.77,0.68,341.00,41.00,1815.00,0.47,16.08,0.34,921.16,1.43
0.50,-88.00,-10.00,17.00,6.00,9.00,7.38,10.22,53000.00,57451.80,1.08,542.00,53.00,1815.00,0.66,13.19,0.54,921.16,0.70
0.55,-94.00,-11.00,-3.00,6.00,11.00,10.02,10.87,70000.00,55872.61,0.80,439.00,70.00,1815.00,0.65,17.44,0.44,921.16,0.72
0.50,-98.00,-7.00,7.00,11.00,16.00,7.75,10.05,20000.00,20639.91,1.03,516.00,20.00,1815.00,0.87,20.23,0.52,921.16,1.94
0.50,-100.00,-9.00,8.00,6.00,16.00,8.39,9.99,60000.00,57239.76,0.95,477.00,60.00,1815.00,0.83,20.73,0.48,921.16,0.70
0.50,-98.00,-10.00,1.00,6.00,16.00,8.05,9.99,57000.00,56657.79,0.99,497.00,57.00,1815.00,0.87,20.78,0.50,921.16,0.71
0.50,-102.00,-10.00,0.00,7.00,15.00,9.71,9.92,22000.00,18127.94,0.82,412.00,22.00,1815.00,0.76,21.72,0.41,921.16,2.21
0.55,-89.00,-7.00,13.00,11.00,5.00,9.15,11.12,23000.00,20114.48,0.87,481.00,23.00,1815.00,0.66,16.03,0.48,921.16,1.99
0.50,-89.00,-7.00,13.00,10.00,5.00,5.80,10.19,18000.00,24839.92,1.38,690.00,18.00,1815.00,0.95,16.03,0.69,921.16,1.61
0.50,-89.00,-6.00,10.00,10.00,5.00,7.55,9.84,23000.00,24379.90,1.06,530.00,23.00,1815.00,0.67,14.41,0.53,921.16,1.64
0.50,-92.00,-6.00,10.00,15.00,5.00,8.60,9.92,12000.00,11159.96,0.93,465.00,12.00,1815.00,0.71,18.08,0.47,921.16,3.58
0.50,-90.00,-11.00,-3.00,4.00,5.00,9.55,9.94,100000.00,83799.64,0.84,419.00,100.00,1815.00,0.58,16.31,0.42,921.16,0.48
0.50,-95.00,-10.00,4.00,9.00,4.00,10.26,10.00,36000.00,28080.03,0.78,390.00,36.00,1815.00,0.67,20.58,0.39,921.16,1.42
0.50,-91.00,-7.00,4.00,12.00,10.00,5.38,10.46,12000.00,17831.93,1.49,743.00,12.00,1815.00,1.16,18.64,0.74,921.16,2.24
0.50,-89.00,-6.00,12.00,12.00,4.00,10.28,9.52,22000.00,17115.96,0.78,389.00,22.00,1815.00,0.53,15.98,0.39,921.16,2.34
0.55,-84.00,-6.00,19.00,10.00,4.00,10.19,11.06,32000.00,25134.51,0.79,432.00,32.00,1815.00,0.49,10.00,0.43,921.16,1.59
0.50,-86.00,-6.00,11.00,14.00,9.00,12.16,9.88,20000.00,13159.95,0.66,329.00,20.00,1815.00,0.38,11.80,0.33,921.16,3.04
0.55,-97.00,-8.00,11.00,12.00,9.00,6.97,11.29,15000.00,17209.01,1.15,631.00,15.00,1815.00,1.01,19.19,0.63,921.16,2.32
0.55,-95.00,-9.00,13.00,6.00,7.00,10.89,10.78,78000.00,57294.49,0.73,404.00,78.00,1815.00,0.68,20.16,0.40,921.16,0.70
