payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
3.50,-91.00,-6.00,19.00,12.00,6.00,27.59,69.06,58000.00,16819.94,0.29,1015.00,58.00,1815.00,1.47,17.09,1.01,701.06,2.38
2.50,-74.00,-5.00,40.00,15.00,1.00,27.14,50.00,37000.00,10907.58,0.29,737.00,37.00,1815.00,0.69,1.38,0.74,701.06,3.67
3.65,-89.00,-5.00,25.00,15.00,11.00,27.01,73.00,37000.00,10958.05,0.30,1081.00,37.00,1815.00,1.54,16.73,1.08,701.06,3.65
3.45,-93.00,-6.00,19.00,13.00,5.00,17.70,69.00,33000.00,14912.14,0.45,1559.00,33.00,1815.00,2.50,19.11,1.56,701.06,2.68
3.55,-78.00,-6.00,26.00,14.00,10.00,25.77,71.00,41000.00,12727.29,0.31,1102.00,41.00,1815.00,1.17,5.88,1.10,701.06,3.14
2.50,-76.00,-5.00,23.00,15.00,4.00,22.73,50.01,31000.00,10911.94,0.35,880.00,31.00,1815.00,0.84,2.44,0.88,701.06,3.67
3.50,-80.00,-6.00,21.00,15.00,4.00,26.95,69.99,37000.00,10983.67,0.30,1039.00,37.00,1815.00,1.16,8.64,1.04,701.06,3.64
2.75,-86.00,-6.00,21.00,15.00,4.00,17.38,55.00,24000.00,11048.71,0.46,1266.00,24.00,1815.00,1.44,10.66,1.27,701.06,3.62
4.15,-80.00,-5.00,22.00,15.00,7.00,26.88,83.00,36000.00,10713.21,0.30,1235.00,36.00,1815.00,1.22,3.67,1.24,701.06,3.73
3.60,-85.00,-6.00,19.00,12.00,7.00,24.83,72.00,52000.00,16755.48,0.32,1160.00,52.00,1815.00,1.34,11.62,1.16,701.06,2.39
