payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
5.55,-93.00,-7.00,27.00,14.00,20.00,13.36,115.81,22000.00,13172.17,0.60,3322.99,22.00,860.00,3.23,13.80,3.32,710.10,6.07
6.00,-115.00,-19.00,-12.00,15.00,27.00,4.15,128.50,6000.00,11568.97,1.93,11569.01,6.00,860.00,19.16,21.17,11.57,710.10,6.92
6.05,-114.00,-15.00,-6.00,15.00,21.00,4.47,118.97,6000.00,10748.38,1.79,10837.98,6.00,860.00,17.48,20.77,10.84,710.10,3.72
2.20,-103.00,-7.00,22.00,8.00,19.00,15.00,34.13,66000.00,35189.91,0.53,1173.00,66.00,2630.00,1.70,17.09,1.17,710.10,1.14
0.80,-95.00,-4.00,29.00,15.00,19.00,20.85,15.13,28000.00,10744.95,0.38,307.00,28.00,2630.00,0.36,11.78,0.31,710.10,3.72
3.20,-100.00,-8.00,10.00,7.00,28.00,7.94,66.96,18000.00,18146.19,1.01,3226.00,18.00,860.00,4.91,19.86,3.23,710.10,2.20
0.95,-98.00,-7.00,20.00,15.00,11.00,12.28,16.50,17000.00,11076.81,0.65,619.00,17.00,1865.00,1.03,19.83,0.62,710.10,3.61
0.65,-100.00,-6.00,25.00,13.00,11.00,15.20,12.60,28000.00,14732.29,0.53,342.00,28.00,1865.00,0.56,19.55,0.34,710.10,2.72
0.55,-80.00,-6.00,32.00,15.00,11.00,13.25,10.99,18000.00,10865.38,0.60,332.00,18.00,1865.00,0.31,-1.74,0.33,710.10,3.68
0.50,-83.00,-6.00,29.00,15.00,11.00,12.54,9.99,17000.00,10845.99,0.64,319.00,17.00,1865.00,0.38,12.55,0.32,710.10,3.69
0.80,-74.00,-6.00,30.00,15.00,5.00,15.13,16.09,21000.00,11103.69,0.53,423.00,21.00,1865.00,0.39,-4.47,0.42,710.10,3.60
0.55,-68.00,-6.00,29.00,15.00,5.00,12.94,10.92,17000.00,10509.07,0.62,340.00,17.00,1865.00,0.31,-7.84,0.34,710.10,3.81
0.50,-70.00,-5.00,31.00,15.00,5.00,14.13,9.92,19000.00,10753.98,0.57,283.00,19.00,1865.00,0.26,-9.17,0.28,710.10,3.72
0.55,-70.00,-4.00,32.00,13.00,5.00,12.29,21.08,23000.00,14970.91,0.65,358.00,23.00,1865.00,0.33,-9.28,0.36,710.10,2.67
0.50,-75.00,-4.00,28.00,15.00,5.00,11.08,10.02,15000.00,10829.93,0.72,361.00,15.00,1865.00,0.33,-2.64,0.36,710.10,3.69
0.55,-83.00,-5.00,30.00,15.00,5.00,12.57,10.98,17000.00,10818.12,0.64,350.00,17.00,1865.00,0.42,12.59,0.35,710.10,3.70
0.85,-87.00,-5.00,25.00,15.00,10.00,15.38,17.09,21000.00,10919.94,0.52,442.00,21.00,1865.00,0.59,15.36,0.44,710.10,3.66
0.50,-94.00,-5.00,32.00,12.00,10.00,12.05,9.91,26000.00,17263.99,0.66,332.00,26.00,1865.00,0.38,10.73,0.33,710.10,2.32
0.70,-87.00,-5.00,27.00,15.00,10.00,12.99,14.10,17000.00,10467.09,0.62,431.00,17.00,1865.00,0.49,10.25,0.43,710.10,3.82
