payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
4.90,-103.00,-8.00,2.00,10.00,16.00,8.93,125.50,27000.00,24195.20,0.90,4391.00,27.00,860.00,7.12,20.84,4.39,1424.08,1.65
6.05,-113.00,-8.00,4.00,9.00,17.00,4.28,127.89,15000.00,28046.16,1.87,11311.99,15.00,2630.00,20.49,21.38,11.31,1424.08,1.43
3.90,-89.00,-4.00,24.00,13.00,7.00,25.35,67.89,47000.00,14835.10,0.32,1231.00,47.00,2630.00,1.63,15.38,1.23,1424.08,2.70
6.05,-108.00,-7.00,13.00,8.00,10.00,9.31,124.96,40000.00,34366.81,0.86,5198.00,40.00,2630.00,9.32,21.20,5.20,1424.08,1.16
3.20,-97.00,-6.00,16.00,11.00,8.00,22.22,59.95,55000.00,19799.93,0.36,1152.00,55.00,2630.00,1.87,19.41,1.15,1424.08,2.02
2.00,-93.00,-7.00,19.00,11.00,8.00,24.35,39.50,61000.00,20038.43,0.33,657.00,61.00,2630.00,1.04,18.86,0.66,1424.08,2.00
2.85,-89.00,-8.00,16.00,14.00,3.00,18.07,57.60,30000.00,13284.18,0.44,1262.00,30.00,2630.00,2.14,20.22,1.26,1424.08,3.01
2.55,-91.00,-8.00,9.00,9.00,3.00,26.46,50.50,91000.00,27514.06,0.30,771.00,91.00,2630.00,1.11,17.00,0.77,1424.08,1.45
3.35,-88.00,-6.00,23.00,12.00,3.00,27.92,67.21,60000.00,17193.95,0.29,960.00,60.00,2630.00,1.39,17.16,0.96,1424.08,2.33
2.75,-90.00,-7.00,17.00,15.00,3.00,25.17,54.93,34000.00,10805.79,0.32,874.00,34.00,2630.00,1.38,18.89,0.87,1424.08,3.70
4.75,-100.00,-8.00,2.00,15.00,23.00,4.65,342.51,6000.00,10322.49,1.72,8172.01,6.00,860.00,6.67,12.66,8.17,1424.08,3.88
6.05,-104.00,-8.00,7.00,15.00,23.00,4.75,122.89,6000.00,10111.69,1.69,10195.99,6.00,860.00,16.78,21.08,10.20,1424.08,3.96
6.05,-97.00,-8.00,21.00,11.00,13.00,4.90,120.59,12000.00,19582.72,1.63,9872.99,12.00,860.00,13.12,17.47,9.87,1424.08,2.04
