payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
0.55,-106.00,-13.00,-3.00,7.00,15.00,0.93,16.00,2000.00,17149.02,8.57,4716.00,2.00,860.00,7.28,20.09,4.72,949.24,2.33
0.50,-111.00,-16.00,-6.00,5.00,19.00,1.43,8.10,14000.00,78455.55,5.60,2802.00,14.00,860.00,3.56,16.75,2.80,949.24,0.51
0.50,-111.00,-12.00,1.00,8.00,17.00,5.33,7.73,23000.00,34499.89,1.50,750.00,23.00,1865.00,1.40,21.89,0.75,949.24,1.16
0.55,-109.00,-10.00,5.00,11.00,17.00,2.63,11.97,7000.00,21318.07,3.05,1675.00,7.00,1865.00,2.88,20.50,1.67,949.24,1.88
0.50,-109.00,-9.00,4.00,7.00,17.00,6.31,8.93,15000.00,19019.93,1.27,634.00,15.00,1865.00,1.08,20.41,0.63,949.24,2.10
0.50,-108.00,-8.00,6.00,12.00,17.00,1.34,12.40,3000.00,17963.94,5.99,2994.00,3.00,1865.00,5.08,20.28,2.99,949.24,2.23
0.50,-116.00,-10.00,1.00,5.00,16.00,1.78,9.22,17000.00,76329.88,4.49,2245.01,17.00,1865.00,3.87,20.55,2.25,949.24,0.52
0.50,-112.00,-10.00,-3.00,8.00,16.00,4.39,8.68,19000.00,34617.84,1.82,911.00,19.00,1865.00,1.58,20.69,0.91,949.24,1.16
0.50,-106.00,-7.00,12.00,15.00,16.00,3.55,10.21,5000.00,11259.96,2.25,1126.00,5.00,1865.00,1.91,20.28,1.13,949.24,3.55
0.50,-104.00,-7.00,13.00,13.00,16.00,3.86,9.89,7000.00,14517.93,2.07,1037.00,7.00,1865.00,1.76,20.27,1.04,949.24,2.76
0.55,-103.00,-7.00,18.00,15.00,16.00,6.20,10.69,8000.00,10327.23,1.29,710.00,8.00,1865.00,1.03,17.16,0.71,949.24,3.87
0.50,-110.00,-7.00,5.00,9.00,16.00,5.04,10.06,17000.00,26995.91,1.59,794.00,17.00,1865.00,1.41,21.08,0.79,949.24,1.48
0.50,-113.00,-10.00,2.00,6.00,16.00,5.17,9.97,37000.00,57201.83,1.55,773.00,37.00,1865.00,1.39,21.25,0.77,949.24,0.70
0.55,-111.00,-9.00,4.00,6.00,16.00,3.37,11.60,24000.00,56945.24,2.37,1305.00,24.00,1865.00,2.37,21.44,1.30,949.24,0.70
0.50,-112.00,-9.00,6.00,8.00,16.00,3.82,9.69,17000.00,35597.90,2.09,1047.00,17.00,1865.00,1.91,21.53,1.05,949.24,1.12
0.50,-110.00,-8.00,4.00,9.00,16.00,5.19,9.74,18000.00,27755.88,1.54,771.00,18.00,1865.00,1.38,21.23,0.77,949.24,1.44
0.50,-111.00,-9.00,4.00,9.00,16.00,3.77,10.27,13000.00,27611.91,2.12,1062.00,13.00,1865.00,1.84,20.64,1.06,949.24,1.45
0.55,-106.00,-7.00,7.00,9.00,16.00,8.98,10.43,32000.00,28508.97,0.89,490.00,32.00,1865.00,0.89,21.41,0.49,949.24,1.40
0.50,-98.00,-9.00,12.00,12.00,16.00,11.20,9.88,24000.00,17135.97,0.71,357.00,24.00,1865.00,0.61,20.28,0.36,949.24,2.33
0.50,-98.00,-6.00,7.00,12.00,16.00,9.15,10.09,20000.00,17479.94,0.87,437.00,20.00,1865.00,0.73,20.09,0.44,949.24,2.29
0.50,-93.00,-6.00,7.00,15.00,16.00,10.42,9.93,14000.00,10751.97,0.77,384.00,14.00,1865.00,0.58,17.86,0.38,949.24,3.72
0.50,-96.00,-7.00,4.00,12.00,16.00,10.61,9.98,23000.00,17341.97,0.75,377.00,23.00,1865.00,0.64,20.17,0.38,949.24,2.31
0.55,-90.00,-6.00,12.00,15.00,16.00,10.50,11.04,14000.00,10665.45,0.76,419.00,14.00,1865.00,0.61,17.08,0.42,949.24,3.75
0.50,-90.00,-7.00,1.00,14.00,16.00,8.44,10.04,14000.00,13271.95,0.95,474.00,14.00,1865.00,0.75,18.78,0.47,949.24,3.01
0.55,-89.00,-7.00,26.00,15.00,4.00,11.49,10.92,16000.00,11141.77,0.70,383.00,16.00,1865.00,0.54,16.67,0.38,949.24,3.59
0.50,-88.00,-6.00,30.00,15.00,4.00,11.02,9.99,15000.00,10889.98,0.73,363.00,15.00,1865.00,0.42,11.16,0.36,949.24,3.67
0.50,-88.00,-6.00,30.00,15.00,4.00,11.66,9.99,16000.00,10975.91,0.69,343.00,16.00,1865.00,0.39,11.16,0.34,949.24,3.64
0.55,-86.00,-6.00,34.00,15.00,4.00,12.12,11.02,16000.00,10559.92,0.66,363.00,16.00,1865.00,0.40,6.73,0.36,949.24,3.79
0.50,-87.00,-6.00,25.00,12.00,4.00,11.76,9.98,25000.00,16999.86,0.68,340.00,25.00,1865.00,0.46,15.75,0.34,949.24,2.35
0.55,-72.00,-5.00,33.00,15.00,4.00,12.39,11.00,17000.00,10972.70,0.65,355.00,17.00,1865.00,0.33,-5.98,0.36,949.24,3.65
0.50,-72.00,-5.00,36.00,15.00,4.00,11.53,9.99,16000.00,11103.98,0.69,347.00,16.00,1865.00,0.32,-5.98,0.35,949.24,3.60
0.50,-90.00,-11.00,11.00,8.00,4.00,10.44,20.03,45000.00,34469.88,0.77,383.00,45.00,1865.00,0.48,14.09,0.38,949.24,1.16
0.55,-90.00,-5.00,6.00,6.00,5.00,9.13,11.12,64000.00,56087.03,0.88,482.00,64.00,1865.00,0.69,16.73,0.48,949.24,0.71
0.50,-100.00,-8.00,0.00,11.00,5.00,10.55,9.87,27000.00,20465.98,0.76,379.00,27.00,1865.00,0.66,20.78,0.38,949.24,1.95
0.50,-96.00,-7.00,18.00,14.00,5.00,10.15,10.03,17000.00,13395.98,0.79,394.00,17.00,1865.00,0.66,20.11,0.39,949.24,2.99
0.50,-101.00,-8.00,7.00,10.00,5.00,6.73,10.23,21000.00,24947.91,1.19,594.00,21.00,1865.00,1.00,20.17,0.59,949.24,1.60
0.50,-104.00,-9.00,5.00,8.00,5.00,5.49,10.10,24000.00,34943.84,1.46,728.00,24.00,1865.00,1.24,20.28,0.73,949.24,1.14
0.50,-112.00,-11.00,1.00,6.00,5.00,2.23,11.08,16000.00,57503.80,3.59,1797.00,16.00,1865.00,3.08,20.45,1.80,949.24,0.70
0.50,-117.00,-11.00,2.00,8.00,5.00,0.81,13.19,4000.00,39719.83,9.93,4965.00,4.00,1865.00,8.63,20.69,4.96,949.24,1.01
0.55,-67.00,-11.00,18.00,12.00,3.00,8.49,6.55,18000.00,16952.66,0.94,518.00,18.00,860.00,0.31,-1.03,0.52,949.24,2.36
0.50,-63.00,-5.00,14.00,12.00,3.00,10.67,9.79,23000.00,17249.95,0.75,375.00,23.00,860.00,0.21,-9.36,0.38,949.24,2.32
0.50,-67.00,-5.00,25.00,14.00,3.00,9.50,10.05,15000.00,12629.96,0.84,421.00,15.00,860.00,0.23,-2.95,0.42,949.24,3.17
0.50,-68.00,-5.00,37.00,15.00,3.00,9.52,10.00,13000.00,10919.95,0.84,420.00,13.00,860.00,0.23,-9.80,0.42,949.24,3.66
0.50,-68.00,-5.00,33.00,15.00,3.00,11.80,9.97,16000.00,10847.92,0.68,339.00,16.00,860.00,0.19,-9.80,0.34,949.24,3.69
0.55,-70.00,-6.00,35.00,13.00,3.00,12.09,10.99,22000.00,14559.89,0.66,364.00,22.00,860.00,0.20,-8.50,0.36,949.24,2.75
0.50,-80.00,-6.00,22.00,11.00,3.00,11.56,10.02,29000.00,20067.99,0.69,346.00,29.00,860.00,0.21,-0.66,0.35,949.24,1.99
0.50,-84.00,-8.00,26.00,9.00,3.00,10.28,9.99,36000.00,28007.94,0.78,389.00,36.00,860.00,0.27,9.39,0.39,949.24,1.43
0.50,-87.00,-6.00,8.00,8.00,7.00,7.97,10.14,35000.00,35139.86,1.00,502.00,35.00,2630.00,0.64,14.56,0.50,949.24,1.14
0.50,-91.00,-8.00,8.00,11.00,7.00,7.52,10.06,19000.00,20215.91,1.06,532.00,19.00,2630.00,0.80,17.91,0.53,949.24,1.98
0.50,-84.00,-5.00,16.00,12.00,6.00,5.53,10.18,12000.00,17351.95,1.45,723.00,12.00,2630.00,0.84,11.81,0.72,949.24,2.31
0.50,-90.00,-5.00,16.00,12.00,6.00,9.76,9.68,21000.00,17219.94,0.82,410.00,21.00,2630.00,0.59,16.97,0.41,949.24,2.32
0.50,-95.00,-7.00,15.00,12.00,5.00,13.65,9.88,29000.00,16993.97,0.59,293.00,29.00,2630.00,0.50,20.23,0.29,949.24,2.35
0.50,-94.00,-6.00,22.00,12.00,5.00,13.51,10.01,29000.00,17167.89,0.59,296.00,29.00,2630.00,0.43,17.02,0.30,949.24,2.33
0.50,-89.00,-5.00,25.00,12.00,5.00,16.74,9.99,36000.00,17207.90,0.48,239.00,36.00,2630.00,0.35,17.23,0.24,949.24,2.32
0.50,-87.00,-6.00,24.00,13.00,5.00,8.73,10.16,16000.00,14655.94,0.92,458.00,16.00,2630.00,0.66,16.97,0.46,949.24,2.73
0.50,-88.00,-5.00,20.00,13.00,5.00,13.03,9.85,24000.00,14735.90,0.61,307.00,24.00,2630.00,0.37,12.98,0.31,949.24,2.71
0.50,-89.00,-5.00,19.00,12.00,5.00,13.29,10.00,29000.00,17457.92,0.60,301.00,29.00,2630.00,0.39,15.17,0.30,949.24,2.29
0.50,-85.00,-6.00,22.00,12.00,5.00,13.65,9.98,29000.00,16993.97,0.59,293.00,29.00,2630.00,0.36,13.79,0.29,949.24,2.35
0.50,-97.00,-9.00,13.00,7.00,5.00,11.70,10.04,27000.00,18467.85,0.68,342.00,27.00,2630.00,0.57,20.06,0.34,949.24,2.17
0.50,-104.00,-8.00,14.00,6.00,5.00,7.26,10.21,51000.00,56201.75,1.10,551.00,51.00,2630.00,0.94,20.42,0.55,949.24,0.71
0.50,-105.00,-7.00,5.00,11.00,13.00,8.89,9.92,22000.00,19799.93,0.90,450.00,22.00,2630.00,0.76,20.25,0.45,949.24,2.02
0.50,-107.00,-10.00,1.00,8.00,13.00,5.93,10.24,26000.00,35047.87,1.35,674.00,26.00,2630.00,1.15,20.38,0.67,949.24,1.14
0.50,-104.00,-8.00,1.00,7.00,13.00,8.91,9.76,21000.00,18857.93,0.90,449.00,21.00,2630.00,0.76,20.31,0.45,949.24,2.12
0.50,-104.00,-6.00,11.00,10.00,17.00,7.89,10.06,25000.00,25349.89,1.01,507.00,25.00,2630.00,0.87,20.50,0.51,949.24,1.58
0.50,-107.00,-7.00,7.00,9.00,17.00,8.53,9.95,30000.00,28139.88,0.94,469.00,30.00,2630.00,0.79,20.22,0.47,949.24,1.42
0.50,-105.00,-7.00,13.00,10.00,10.00,11.53,9.91,35000.00,24289.95,0.69,347.00,35.00,2630.00,0.59,20.27,0.35,949.24,1.65
0.50,-97.00,-6.00,21.00,12.00,10.00,13.03,9.94,28000.00,17191.89,0.61,307.00,28.00,2630.00,0.48,18.77,0.31,949.24,2.33
0.50,-93.00,-6.00,32.00,13.00,10.00,12.86,9.99,24000.00,14927.93,0.62,311.00,24.00,2630.00,0.35,10.50,0.31,949.24,2.68
0.50,-87.00,-6.00,13.00,15.00,10.00,11.90,10.03,16000.00,10751.97,0.67,336.00,16.00,2630.00,0.44,14.91,0.34,949.24,3.72
0.50,-94.00,-5.00,33.00,11.00,10.00,12.20,9.99,31000.00,20335.87,0.66,328.00,31.00,2630.00,0.37,10.66,0.33,949.24,1.97
