payload_mb,rsrp,rsrq,sinr,cqi,ta,dataRate_mbits,aoi_s,nPRBs,nPRBs_per_mb,duration_per_mb,nTTIs,nPRBs_perTTI,f,powerConsumption,txPower,duration,totalTime,spectral_efficiency
6.15,-109.00,-8.00,6.00,15.00,15.00,3.23,122.01,4000.00,9912.15,2.48,15239.99,4.00,1865.00,27.26,21.17,15.24,943.01,4.04
4.05,-92.00,-5.00,21.00,15.00,7.00,11.11,158.00,15000.00,10803.71,0.72,2917.01,15.00,2630.00,4.15,16.75,2.92,943.01,3.70
2.90,-93.00,-11.00,5.00,1.00,7.00,8.71,58.00,100000.00,91861.74,0.92,2664.00,100.00,1865.00,4.22,18.91,2.66,943.01,0.44
1.60,-83.00,-5.00,16.00,15.00,4.00,24.02,32.00,32000.00,10659.96,0.33,533.00,32.00,2630.00,0.60,10.23,0.53,943.01,3.75
1.50,-78.00,-6.00,22.00,13.00,3.00,25.81,30.00,47000.00,14569.92,0.31,465.00,47.00,2630.00,0.46,3.91,0.47,943.01,2.75
1.65,-90.00,-6.00,19.00,10.00,4.00,22.34,33.00,67000.00,23998.10,0.36,591.00,67.00,2630.00,0.88,17.62,0.59,943.01,1.67
2.60,-76.00,-5.00,31.00,15.00,7.00,6.43,52.00,9000.00,11201.50,1.24,3236.00,9.00,2630.00,3.10,2.62,3.24,943.01,3.57
1.60,-88.00,-6.00,28.00,15.00,5.00,24.38,32.00,33000.00,10828.10,0.33,525.00,33.00,2630.00,0.60,10.64,0.53,943.01,3.69
1.50,-88.00,-5.00,27.00,15.00,5.00,19.17,30.00,26000.00,10850.63,0.42,626.00,26.00,2630.00,0.72,11.05,0.63,943.01,3.69
6.10,-110.00,-10.00,2.00,15.00,23.00,2.43,236.00,3000.00,9873.41,3.29,20076.01,3.00,860.00,33.62,21.34,20.08,943.01,4.05
6.20,-112.00,-12.00,5.00,15.00,63.00,5.66,124.00,8000.00,11313.50,1.41,8767.99,8.00,1865.00,15.38,20.84,8.77,943.01,3.54
